home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
D  SIGMARI01;24;F;DE;2;4;S;S  BORAS01;;;9.5;0.0;;09-2010;;60.0;0.0;60.0;0.0;0.0;0.0;N
D  SIGMARI01;26;F;DE;2;4;S;S  BORAS01;;;9.5;0.0;;08-2010;;60.0;0.0;60.0;0.0;1425.0;0.0;N
D  SPEYER02;31;M;DE;2;6;S;F  PARIS014;;;6.5;0.0;;04-2011;;24.0;0.0;24.0;0.0;1950.0;0.0;N
D  ST-AUGU02;23;F;DE;1;2;S;I  PALERMO01;;;3.5;0.0;;04-2011;;18.0;0.0;18.0;0.0;1050.0;0.0;N
D  ST-AUGU02;22;M;DE;1;2;S;F  PARIS005;;;4.0;0.0;;09-2010;;31.0;0.0;31.0;0.0;1200.0;0.0;N
D  ST-AUGU02;26;F;DE;1;2;S;PL KRAKOW01;;;9.5;0.0;;09-2010;;60.0;0.0;60.0;0.0;2850.0;0.0;N
D  STRALSU01;31;M;DE;1;2;S;E  LAS-PAL01;;;4.75;0.0;;09-2010;;36.0;0.0;36.0;0.0;1187.5;0.0;N
D  STRALSU01;23;F;DE;1;3;S;E  VALENCI02;;;9.5;0.0;;09-2010;;58.0;0.0;58.0;0.0;2437.5;0.0;N
D  STRALSU01;24;M;DE;1;3;S;SF KOTKA06;;;5.0;0.0;;08-2010;;27.0;0.0;27.0;0.0;1250.0;0.0;N
F  LYON71;20;M;FR;1;2;S;A  KUFSTEI01;;;4.5;0.0;;10-2010;;30.0;0.0;30.0;0.0;824.49;0.0;N
F  LYON71;20;F;FR;1;3;S;A  KUFSTEI01;;;4.5;0.0;;03-2011;;30.0;0.0;30.0;0.0;824.49;0.0;N
F  LYON71;21;M;FR;1;2;S;B  HASSELT03;;;4.5;0.0;;09-2010;;30.0;0.0;30.0;0.0;824.49;0.0;N
F  LYON71;20;F;FR;1;2;S;CZ BRNO01;;;4.5;0.0;;09-2010;;30.0;0.0;30.0;0.0;824.49;0.0;N
F  LYON71;20;M;FR;1;2;S;CZ MLADA01;;;5.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;916.1;0.0;N
F  LYON71;20;M;FR;1;2;S;CZ MLADA01;;;5.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;916.1;0.0;N
F  LYON71;21;M;FR;1;2;S;CZ MLADA01;;;5.0;0.0;;02-2011;;30.0;0.0;30.0;0.0;916.1;0.0;N
F  LYON71;20;F;FR;1;2;S;CZ ZLIN01;;;4.5;0.0;;02-2011;;30.0;0.0;30.0;0.0;824.49;0.0;N
F  LYON88;19;F;FR;S;1;P;;HOTEL LYSKIRCHEN;ES;0.0;4.0;;;05-2011;0.0;0.0;0.0;0.0;0.0;1384.09;N
F  LYON88;18;F;FR;S;1;P;;HOTEL HILTON MADRID AIRPORT;ES;0.0;4.0;;;05-2011;0.0;0.0;0.0;0.0;0.0;1384.09;N
