home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
D  KONSTAN01;25;M;DE;1;2;S;UK BATH01;;;4.0;0.0;;09-2008;;27.0;0.0;27.0;0.0;720.0;0.0;N
D  KONSTAN01;24;M;DE;2;4;S;F  PARIS007;;;8.0;0.0;;09-2008;;63.0;0.0;63.0;0.0;1440.0;0.0;N
D  KONSTAN01;23;M;DE;1;2;S;F  MARSEIL16;;;4.0;0.0;;09-2008;;15.0;0.0;15.0;0.0;720.0;0.0;N
D  KONSTAN01;24;F;DE;1;3;S;E  CORDOBA01;;;4.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;720.0;0.0;N
EE TALLINN04;22;M;EE;1;2;S;SF LAHTI11;;;4.0;0.0;;09-2008;;45.0;0.0;45.0;0.0;1727.2;0.0;N
D  LEIPZIG01;24;F;DE;2;3;S;UK CARDIFF01;;;5.0;0.0;;09-2008;;20.0;0.0;20.0;0.0;1185.0;0.0;N
EE TALLINN01;25;F;EE;2;4;P;;KULTURWERK BBK BERLIN;DE;0.0;5.0;;;01-2009;0.0;6.0;6.0;0.0;0.0;2031.84;N
D  LEIPZIG01;24;M;DE;2;4;S;F  STRASBO01;;;9.0;0.0;;09-2008;;60.0;0.0;60.0;0.0;2133.0;0.0;N
D  LEIPZIG01;23;M;DE;1;2;S;B  BRUXEL87;;;5.0;0.0;;09-2008;;24.0;0.0;24.0;0.0;1185.0;0.0;N
EE TARTU02;21;F;EE;1;1;P;;KREEKA, JOB TRUST;GR;0.0;3.0;;;06-2009;0.0;6.0;6.0;0.0;0.0;1473.0;N
EE TARTU01;25;F;EE;1;2;S;S  UPPSALA02;;;11.0;0.0;;08-2008;;60.0;0.0;60.0;0.0;5146.91;0.0;N
EE TALLINN04;20;F;EE;1;2;P;;CLAUSTHAL UT, LABORATORY OF NON-METALLIC MATERIALS;DE;0.0;3.0;;;06-2009;0.0;5.0;5.0;0.0;0.0;1336.3;N
D  LEIPZIG01;25;F;DE;2;3;S;UK WOLVERH01;;;4.0;0.0;;01-2009;;30.0;0.0;30.0;0.0;948.0;0.0;N
EE TARTU02;24;F;EE;1;2;P;;ESCOLA SUPERIOR DE TECNOLOGIA DA SALUDE DE LISBOA;PT;0.0;3.0;;;02-2009;0.0;18.0;18.0;0.0;0.0;1570.0;N
D  LEIPZIG01;23;F;DE;1;2;S;E  MADRID03;;;9.0;0.0;;10-2008;;57.0;0.0;57.0;0.0;2133.0;0.0;N
EE TALLINN12;23;F;EE;1;4;P;;LISBOA HOSPITAL;PT;0.0;3.0;;;02-2009;0.0;18.0;18.0;0.0;0.0;1531.75;N
D  LEIPZIG01;21;F;DE;1;1;S;UK LONDON067;;;3.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;711.0;0.0;N
EE TALLINN04;22;F;EE;1;3;P;;FOCUSLINK OY;FI;0.0;4.0;;;06-2009;0.0;42.0;42.0;0.0;0.0;1703.16;S
D  LEIPZIG01;26;M;DE;2;4;S;UK MANCHES01;;;9.0;0.0;;09-2008;;60.0;0.0;60.0;0.0;2133.0;0.0;N
D  LEIPZIG01;24;F;DE;2;4;S;CZ PRAHA02;;;4.0;0.0;;09-2008;;34.0;0.0;34.0;0.0;948.0;0.0;N
EE TALLINN04;19;M;EE;1;1;S;DK ARHUS01;;;6.0;0.0;;01-2009;;30.0;0.0;30.0;0.0;2590.8;0.0;N
