home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
DK ARHUS01;22;F;EE;1;1;S;E  MADRID14;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
SK BANSKA01;23;F;SK;2;4;P;;Universidad de Vigo, International Relation Office, èpanielsko;ES;0.0;3.75;;;04-2013;0.0;20.0;20.0;0.0;0.0;1875.0;S
SK BANSKA01;24;F;SK;3;5;P;;Centrum pro verejnou politiku, Praha;CZ;0.0;4.0;;;03-2013;0.0;15.0;15.0;0.0;0.0;1600.0;S
SK BANSKA01;23;M;SK;3;5;P;;The Prague Office of the OSCE Secretariat;CZ;0.0;3.0;;;05-2013;0.0;15.0;15.0;0.0;0.0;1200.0;N
SK BANSKA01;25;F;SK;3;5;P;;University of Applied Sciences Upper Austria, School of Management;AT;0.0;10.75;;;09-2012;0.0;3.0;3.0;0.0;0.0;5590.0;S
SK BANSKA01;23;F;SK;2;4;P;;Erholungszentrum Wohnwagenpark Teesdorf;AT;0.0;6.0;;;02-2013;0.0;3.0;3.0;0.0;0.0;3120.0;S
SK BANSKA01;25;F;SK;2;3;P;;Internationaler Bund e.V., Nemecko;DE;0.0;3.0;;;06-2013;0.0;3.0;3.0;0.0;0.0;1500.0;N
SK BANSKA01;23;F;SK;2;4;P;;Internationaler Bund e.V., Nemecko;DE;0.0;3.0;;;06-2013;0.0;3.0;3.0;0.0;0.0;1500.0;N
SK BANSKA01;22;F;SK;2;4;P;;Internationaler Bund e.V., Nemecko;DE;0.0;3.0;;;06-2013;0.0;3.0;3.0;0.0;0.0;1500.0;N
SK BANSKA01;22;F;SK;2;3;P;;Deutsche Atlantische Gesselschaft e.V.;DE;0.0;3.0;;;09-2012;0.0;2.0;2.0;0.0;0.0;1500.0;S
SK BRATISL01;23;F;SK;2;4;S;I  MILANO02;;;9.75;0.0;;10-2012;;62.0;0.0;62.0;0.0;0.0;0.0;N
