home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
A  WIENER01;22;F;AT;1;1;S;SF TAMPERE06;;;4.0;0.0;;08-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
A  SALZBUR03;23;F;AT;1;2;S;I  NAPOLI04;;;4.0;0.0;;03-2013;;22.0;0.0;22.0;0.0;0.0;0.0;N
A  SALZBUR03;20;F;AT;1;2;S;UK YORK03;;;4.0;0.0;;09-2012;;16.0;0.0;16.0;0.0;0.0;0.0;N
A  KREMS03;19;F;AT;1;1;S;S  VAXJO03;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
A  KUFSTEI01;24;M;DE;1;2;S;S  HUDDING01;;;5.0;0.0;;08-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
A  WIEN03;23;M;AT;2;4;S;F  MONTPEL02;;;5.0;0.0;;08-2012;;20.0;0.0;20.0;0.0;0.0;0.0;N
A  INNSBRU08;35;F;AT;1;2;S;CZ USTINAD02;;;4.0;0.0;;09-2012;;15.0;0.0;15.0;0.0;0.0;0.0;N
A  WIEN05;22;F;AT;1;4;S;DK ARHUS01;;;5.0;0.0;;01-2013;;15.0;0.0;15.0;0.0;0.0;0.0;N
A  WIEN01;20;F;AT;1;2;S;S  JONKOPI01;;;5.0;0.0;;01-2013;;16.0;0.0;16.0;0.0;0.0;0.0;N
A  KUFSTEI01;22;M;AT;1;1;P;;Moarhof Betreiber GmbH;DE;0.0;4.0;;;04-2013;0.0;24.0;24.0;0.0;0.0;1464.0;N
A  GRAZ09;24;M;AT;1;3;P;;Audi Hungary Motor Kft.;HU;0.0;5.0;;;08-2012;0.0;30.0;30.0;0.0;0.0;1640.0;N
A  LINZ02;28;M;TR;2;5;P;;Bosch- Siemens Hausgerõte Ges.m.b.H.;DE;0.0;6.0;;;09-2012;0.0;1.0;1.0;0.0;0.0;2196.0;N
A  ST-POLT03;23;F;AT;1;2;P;;Serviceplan Public Relations GmbH & Co. KG;DE;0.0;3.0;;;02-2013;0.0;22.0;22.0;0.0;0.0;1098.0;N
A  WIEN01;25;M;DE;2;2;P;;United Nations Development Programme in Bratislava;SK;0.0;6.0;T;;05-2013;0.0;0.0;0.0;0.0;0.0;1312.0;N
A  GRAZ03;23;M;IT;1;2;P;;Swedish Radio Choir;SE;0.0;12.0;;;08-2012;0.0;0.0;0.0;0.0;0.0;5220.0;N
A  WIEN07;29;F;;2;5;P;;Herausgeberbetrieb f³r Druckwerke, Mailand;IT;0.0;3.0;;;10-2012;0.0;0.0;0.0;0.0;0.0;1098.0;N
A  LINZ02;22;F;AT;1;2;P;;SLEAZE Magazin;DE;0.0;8.0;;;07-2012;0.0;1.0;1.0;0.0;0.0;2928.0;N
A  INNSBRU21;26;M;AT;3;5;P;;Rostock;DE;0.0;3.0;;;05-2013;0.0;17.0;17.0;0.0;0.0;0.0;N
A  WIEN01;25;F;AT;1;2;P;;ACTORI GmbH;DE;0.0;5.0;;;09-2012;0.0;5.0;5.0;0.0;0.0;1830.0;S
A  KREMS03;21;M;AT;1;1;P;;Samedi GmbH;DE;0.0;4.0;;;04-2013;0.0;12.0;12.0;0.0;0.0;0.0;N
A  GRAZ01;23;F;AT;2;3;P;;Suhrkamp Verlag;DE;0.0;3.0;;;07-2013;0.0;12.0;12.0;0.0;0.0;0.0;N
A  WIEN63;20;F;CH;1;0;P;;ICOM;FR;0.0;5.0;;;03-2013;0.0;22.0;22.0;0.0;0.0;1830.0;N
A  SPITTAL01;21;F;AT;1;2;P;;Hotel Bayerischer Hof M³nchen;DE;0.0;4.0;;;01-2013;0.0;12.0;12.0;0.0;0.0;1464.0;N
A  WIEN21;20;F;AT;1;1;P;;Ísterreich Werbung Madrid;ES;0.0;5.0;;;02-2013;0.0;30.0;30.0;0.0;0.0;1830.0;N
A  SPITTAL01;24;M;AT;1;2;P;;Architekten;CH;0.0;7.0;;;08-2012;0.0;29.0;29.0;0.0;0.0;2562.0;N
A  WIEN21;20;F;AT;1;1;P;;Barcel¾ Congresos;ES;0.0;5.0;;;04-2013;0.0;30.0;30.0;0.0;0.0;1830.0;N
A  KREMS03;20;F;IT;1;2;P;;University of Brighton;UK;0.0;5.0;;;07-2012;0.0;30.0;30.0;0.0;0.0;2000.0;N
A  WIEN63;21;M;AT;1;2;P;;University of Iceland;IS;0.0;4.0;;;01-2013;0.0;25.0;25.0;0.0;0.0;1740.0;N
A  WIEN06;38;M;AT;1;6;P;;Teapot Gallery Cologne;DE;0.0;7.0;;;04-2013;0.0;0.0;0.0;0.0;0.0;0.0;N
HU SZEGED01;25;F;HU;2;1;S;D  BERLIN13;;;5.0;0.0;;10-2012;;15.0;0.0;15.0;0.0;0.0;0.0;N
HU SZEGED01;22;F;HU;2;1;S;SF OULU11;;;5.0;0.0;;01-2013;;19.0;0.0;19.0;0.0;0.0;0.0;N
HU SZEGED01;23;F;HU;2;1;S;SF OULU11;;;5.0;0.0;;01-2013;;19.0;0.0;19.0;0.0;0.0;0.0;N
