home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
D  HALLE03;24;F;DE;2;3;S;A  WIEN06;;;4.0;0.0;;03-2010;;30.0;0.0;30.0;0.0;1087.0;0;N
D  HALLE03;24;M;DE;2;4;S;I  ROMA06;;;5.0;0.0;;03-2010;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;24;M;DE;1;2;S;S  GOTEBOR01;;;5.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;24;M;DE;1;2;S;PL WARSZAW11;;;4.0;0.0;;02-2010;;30.0;0.0;30.0;0.0;1087.0;0;N
D  HALLE03;22;F;DE;2;4;S;HU BUDAPES27;;;5.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;25;F;DE;2;3;S;A  LINZ02;;;5.0;0.0;;10-2009;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;24;F;DE;2;3;S;I  ROMA06;;;5.0;0.0;;03-2010;;30.0;0.0;30.0;0.0;1358.0;0;N
D  FREIBUR01;22;M;DE;1;2;S;F  MONTPEL01;;;9.0;0.0;;09-2009;;51.0;0.0;51.0;0.0;2061.0;0;N
D  HALLE01;24;M;DE;1;4;S;F  PARIS011;;;5.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;1275.0;0;N
D  HALLE01;25;M;DE;1;5;S;I  GENOVA01;;;5.0;0.0;;03-2010;;30.0;0.0;30.0;0.0;1275.0;0;N
D  HALLE01;21;F;DE;1;2;S;F  AMIENS01;;;9.5;0.0;;09-2009;;60.0;0.0;60.0;0.0;2423.0;0;N
D  HALLE01;26;M;DE;1;5;S;S  UMEA01;;;9.0;0.0;;08-2009;;60.0;0.0;60.0;0.0;2295.0;0;N
D  HALLE01;23;M;DE;1;3;S;E  VALENCI01;;;6.5;0.0;;09-2009;;30.0;0.0;30.0;0.0;1658.0;0;N
D  HAMBURG01;22;M;BE;2;4;S;I  BOLOGNA01;;;3.0;0.0;;01-2010;;20.0;0.0;20.0;0.0;600.0;0;N
D  HAMBURG01;22;M;BE;2;4;S;I  BOLOGNA01;;;3.0;0.0;;10-2009;;20.0;0.0;20.0;0.0;600.0;0;N
D  HAMBURG01;27;M;DE;1;2;S;UK DUNDEE03;;;9.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;1800.0;0;N
D  HAMBURG01;25;F;DE;2;5;S;B  GENT01;;;3.0;0.0;;01-2010;;20.0;0.0;20.0;0.0;600.0;0;N
D  HAMBURG01;25;F;DE;2;5;S;NL ROTTERD03;;;3.0;0.0;;10-2009;;20.0;0.0;20.0;0.0;600.0;0;N
D  HAMBURG01;25;F;DE;2;5;S;NL ROTTERD03;;;4.0;0.0;;04-2010;;20.0;0.0;20.0;0.0;800.0;0;N
D  HAMBURG01;24;F;DE;1;6;S;SK BRATISL03;;;4.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;800.0;0;N
D  HAMBURG01;27;M;DE;2;4;S;I  TRIESTE01;;;5.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;1000.0;0;N
D  HALLE03;25;F;DE;1;3;S;SF HELSINK06;;;5.0;0.0;;01-2010;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;30;F;DE;2;4;S;CZ PRAHA05;;;6.0;0.0;;10-2009;;30.0;0.0;30.0;0.0;1630.0;0;N
D  HALLE03;26;F;DE;1;1;S;SF HELSINK06;;;6.0;0.0;;01-2010;;30.0;0.0;30.0;0.0;1358.0;0;N
D  HALLE03;31;F;DE;2;4;S;TR ISTANBU06;;;5.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;1358.0;0;N
D  FREIBUR01;22;M;DE;1;2;S;F  STRASBO48;;;10.0;0.0;;09-2009;;54.0;0.0;54.0;0.0;2290.0;0;N
D  FREIBUR01;23;F;DE;1;2;S;UK BIRMING02;;;9.0;0.0;;09-2009;;50.0;0.0;50.0;0.0;2061.0;0;N
D  FREIBUR01;23;F;DE;1;3;S;TR ISTANBU08;;;4.0;0.0;;02-2010;;30.0;0.0;30.0;0.0;916.0;0;N
D  FREIBUR01;23;M;DE;1;2;S;UK DUNDEE01;;;9.0;0.0;;09-2009;;60.0;0.0;60.0;0.0;2061.0;0;N
D  FREIBUR01;23;F;DE;1;3;S;G  KRITIS01;;;5.0;0.0;;09-2009;;26.0;0.0;26.0;0.0;1145.0;0;N
