home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
UK EXETER01;25;M;;1;2;S;PL WROCLAW02;;;2.25;0.0;X;09-2011;;45.0;0.0;45.0;0.0;1237.0;0.0;N
UK EXETER01;25;M;;1;2;S;NL DELFT01;;;2.25;0.0;X;11-2011;;45.0;0.0;45.0;0.0;837.0;0.0;N
UK EXETER01;20;F;UK;1;2;S;E  BILBAO02;;;10.5;0.0;;08-2011;;60.0;0.0;60.0;0.0;3906.0;0.0;N
UK EXETER01;20;M;UK;1;2;S;IRLDUBLIN01;;;8.25;0.0;;09-2011;;60.0;0.0;60.0;0.0;3069.0;0.0;N
UK EXETER01;20;F;UK;1;2;C;E  MURCIA01;BCN BUSINESS;ES;9.0;0.0;;09-2011;02-2012;60.0;0.0;60.0;0.0;3348.0;0.0;N
UK EXETER01;20;M;UK;1;2;P;;APPLE RETAIL;DE;0.0;7.5;;;08-2011;0.0;60.0;60.0;0.0;0.0;2790.0;N
UK EXETER01;20;M;UK;1;2;S;S  LUND01;;;5.0;0.0;;01-2012;;30.0;0.0;30.0;0.0;1860.0;0.0;N
UK EXETER01;20;F;UK;1;2;S;E  SANTAND01;;;9.25;0.0;;09-2011;;60.0;0.0;60.0;0.0;3441.0;0.0;N
UK EXETER01;21;M;UK;1;2;S;E  ALCAL-H01;;;10.5;0.0;;09-2011;;60.0;0.0;60.0;0.0;3906.0;0.0;N
UK EXETER01;22;F;UK;1;2;P;;INSPECTION DE L'EDUCATION NATIONALE;FR;0.0;7.0;;;10-2011;0.0;60.0;60.0;0.0;0.0;2604.0;N
UK EXETER01;21;F;UK;1;2;S;F  RENNES02;;;8.5;0.0;;09-2011;;60.0;0.0;60.0;0.0;3162.0;0.0;N
UK EXETER01;20;F;UK;1;2;P;;LIEBIGSCHULE;DE;0.0;9.25;;;09-2011;0.0;60.0;60.0;0.0;0.0;3441.0;N
UK EXETER01;21;M;UK;1;2;C;F  RENNES02;SANITAS;ES;9.0;0.0;;09-2011;02-2012;60.0;0.0;60.0;0.0;3348.0;0.0;N
UK EXETER01;24;M;;1;2;S;NL DELFT01;;;4.75;0.0;;09-2011;;45.0;0.0;45.0;0.0;1767.0;0.0;N
TR BURDUR01;21;F;TR;1;2;S;E  BADAJOZ01;;;5.0;0.0;N;02-2012;;30.0;0.0;30.0;0.0;2190.0;0.0;N
TR BURDUR01;24;F;TR;1;2;S;PL KROSNO01;;;4.5;0.0;N;10-2011;;36.0;0.0;36.0;0.0;1813.0;0.0;N
TR DENIZLI01;21;M;TR;1;3;S;RO PLOIEST01;;;5.0;0.0;N;02-2012;;30.0;0.0;30.0;0.0;1610.0;0.0;N
TR DENIZLI01;25;F;TR;1;5;S;I  ENNA01;;;10.25;0.0;N;09-2011;;67.0;0.0;67.0;0.0;4920.0;0.0;N
TR DENIZLI01;20;M;TR;1;2;S;PL GLIWICE01;;;4.5;0.0;N;02-2012;;30.0;0.0;30.0;0.0;1813.5;0.0;N
TR DENIZLI01;22;F;TR;1;3;S;RO PLOIEST01;;;3.0;0.0;N;02-2012;;33.0;0.0;33.0;0.0;966.0;0.0;N
TR DENIZLI01;21;M;TR;1;3;S;SI LJUBLJA01;;;4.75;0.0;N;09-2011;;20.0;0.0;20.0;0.0;1833.5;0.0;N
TR DENIZLI01;23;M;TR;1;4;S;CZ PARDUB01;;;8.75;0.0;N;10-2011;;48.0;0.0;48.0;0.0;3675.0;0.0;N
TR DENIZLI01;31;F;TR;3;2;P;;KOLN SPORTHOCHSCHULE;DE;0.0;3.0;N;;02-2012;0.0;3.0;3.0;0.0;0.0;1275.0;N
TR DENIZLI01;24;M;TR;1;5;S;BG BLAGOEV03;;;4.0;0.0;N;08-2011;;34.0;0.0;34.0;0.0;1200.0;0.0;N
TR DENIZLI01;21;M;TR;1;3;S;DK ODENSE01;;;5.0;0.0;N;02-2012;;30.0;0.0;30.0;0.0;2980.0;0.0;N
TR DENIZLI01;22;M;TR;1;4;S;DK ODENSE01;;;4.75;0.0;N;09-2011;;35.0;0.0;35.0;0.0;2831.0;0.0;N
