home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
A  WIEN01;26;M;DE;1;2;P;;CARDIAC COMMUNICATION LTD.;DE;0.0;6.0;;;03-2011;0.0;0.0;0.0;0.0;0.0;1598.4;N
A  INNSBRU08;21;F;DE;1;2;P;;DERTOUR GMBH & CO. KG;DE;0.0;5.0;;;08-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  INNSBRU08;26;F;DE;1;2;P;;DERTOUR GMBH & CO. KG;DE;0.0;5.0;;;08-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  INNSBRU08;21;F;DE;1;2;P;;HOTEL BAREISS IM SCHWARZWALD;DE;0.0;5.0;;;08-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  INNSBRU08;26;F;DE;1;2;P;;FRAPORT AG FRANKFURT AIRPORT;DE;0.0;5.0;;;07-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  INNSBRU08;21;F;DE;1;2;P;;DAIMLER AG;DE;0.0;5.0;;;07-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  LINZ01;26;M;AT;2;5;P;;BMW AG;DE;0.0;6.0;;;07-2010;0.0;0.0;0.0;0.0;0.0;1598.4;N
A  INNSBRU08;25;F;DE;1;2;P;;NETWORKING & MEDIA / TRAVEL INDUSTRY CLUB;DE;0.0;5.0;;;07-2010;0.0;24.0;24.0;0.0;0.0;1332.0;N
A  WIEN01;20;F;AT;2;1;P;;CLASSIC COMMUNICATIONS;FR;0.0;6.0;;;09-2010;0.0;0.0;0.0;0.0;0.0;1598.4;N
A  KUFSTEI01;23;M;AT;1;2;P;;FRAUNHOFER;DE;0.0;4.0;;;04-2011;0.0;16.0;16.0;0.0;0.0;1065.6;S
A  WELS01;28;M;IT;1;2;P;;EURAC RESEARCH - EUROPEAN ACADEMY OF BOZEN/BOLZANO;IT;0.0;3.0;;;03-2011;0.0;16.0;16.0;0.0;0.0;799.2;S
A  WELS01;23;M;AT;2;1;P;;HILTI AKTIENGESELLSCHAFT FL-9494 SCHAAN;LI;0.0;7.0;;;01-2011;0.0;0.0;0.0;0.0;0.0;1668.8;S
A  WELS01;26;M;DE;2;1;P;;DRÃ¤GER SAFETY AG & CO.KGAA - LÃ¼BECK;DE;0.0;3.0;;;04-2011;0.0;0.0;0.0;0.0;0.0;799.2;S
