home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
TR BALIKES01;25;M;TR;2;6;S;UK CARDIFF01;;;6.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;3600.0;0.0;N
UK BATH01;21;F;UK;1;2;P;;BUNDESGYMNASIUM UND BUNDESREALGYMNASIUM;AT;0.0;8.0;;;10-2008;0.0;60.0;60.0;0.0;0.0;3120.0;N
TR BALIKES01;22;M;TR;1;1;S;PL BIALYST03;;;4.25;0.0;;02-2009;;32.0;0.0;32.0;0.0;1275.0;0.0;N
TR BURSA01;23;F;TR;1;4;S;P  PORTO05;;;5.25;0.0;;02-2009;;32.0;0.0;32.0;0.0;2100.0;0.0;N
TR BURSA01;23;M;TR;1;4;S;E  VALENCI02;;;4.5;0.0;;09-2008;;29.0;0.0;29.0;0.0;2250.0;0.0;N
UK BELFAST01;21;M;UK;1;2;P;;GOOGLE IRELAND;IE;0.0;11.0;;;08-2008;0.0;0.0;0.0;0.0;0.0;4290.0;N
UK BELFAST01;21;M;UK;1;1;S;F  BORDEAU41;;;10.0;0.0;;09-2008;;60.0;0.0;60.0;0.0;3850.0;0.0;N
TR BURSA01;23;M;TR;1;3;S;I  TRIESTE01;;;5.0;0.0;;09-2008;;56.0;0.0;56.0;0.0;2500.0;0.0;N
TR BURSA01;23;F;TR;1;2;S;F  VANNES04;;;10.0;0.0;;09-2008;;60.0;0.0;60.0;0.0;5000.0;0.0;N
UK BELFAST01;24;M;UK;1;2;P;;GOOGLE IRELAND;IE;0.0;11.0;;;07-2008;0.0;0.0;0.0;0.0;0.0;4290.0;N
TR BURSA01;24;M;TR;1;3;S;I  BARI01;;;4.5;0.0;;03-2009;;33.0;0.0;33.0;0.0;2250.0;0.0;N
UK BELFAST01;26;F;UK;1;2;P;;BANK OF IRELAND SECURITY SERVICES;IE;0.0;12.0;;;07-2008;0.0;0.0;0.0;0.0;0.0;4680.0;N
TR BURSA01;21;M;TR;1;3;S;NL S-HERTO01;;;5.5;0.0;;02-2009;;40.0;0.0;40.0;0.0;2750.0;0.0;N
UK BELFAST01;23;M;UK;1;2;P;;INTEL IRELAND;IE;0.0;11.0;;;07-2008;0.0;0.0;0.0;0.0;0.0;4290.0;N
TR BURSA01;22;F;TR;1;2;S;I  TORINO01;;;4.0;0.0;;02-2009;;34.0;0.0;34.0;0.0;2000.0;0.0;N
UK BELFAST01;21;F;SE;1;1;S;S  STOCKHO01;;;4.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;1540.0;0.0;N
TR BURSA01;22;F;TR;1;4;S;D  HAMBURG01;;;5.0;0.0;;10-2008;;32.0;0.0;32.0;0.0;2500.0;0.0;N
UK BELFAST01;28;M;UK;1;2;P;;INTEL IRELAND;IE;0.0;11.0;;;06-2008;0.0;0.0;0.0;0.0;0.0;4290.0;N
TR BURSA01;21;F;TR;1;4;S;DK KOBENHA56;;;3.75;0.0;;08-2008;;30.0;0.0;30.0;0.0;2250.0;0.0;N
UK BELFAST01;22;M;UK;1;2;P;;INTEL IRELAND;IE;0.0;11.0;;;07-2008;0.0;0.0;0.0;0.0;0.0;4290.0;N
TR BURSA01;27;F;TR;1;3;S;D  KOLN01;;;12.0;0.0;;09-2008;;66.0;0.0;66.0;0.0;6000.0;0.0;N
UK BELFAST01;23;F;UK;2;3;S;A  WIEN15;;;3.0;0.0;;06-2009;;0.0;0.0;0.0;0.0;1155.0;0.0;N
TR BURSA01;23;F;TR;1;4;S;D  SCHWA-G01;;;4.25;0.0;;10-2008;;30.0;0.0;30.0;0.0;2125.0;0.0;N
UK BELFAST01;22;F;UK;1;1;S;E  ALCAL-H01;;;10.0;0.0;;09-2008;;60.0;0.0;60.0;0.0;3850.0;0.0;N
TR ANKARA04;21;F;TR;1;2;P;;NANOFORCE TECHNOLOGY LTD.;UK;0.0;3.0;;;06-2009;0.0;4.0;4.0;0.0;0.0;3480.0;N
TR ANKARA04;22;M;TR;1;3;P;;UNIKLINIK KÖLN;DE;0.0;3.0;;;06-2009;0.0;2.0;2.0;0.0;0.0;3000.0;N
TR ANKARA04;24;F;TR;1;3;P;;BOLOGNA UNIVERSITY;IT;0.0;3.0;;;06-2008;0.0;1.0;1.0;0.0;0.0;3000.0;N
TR ANKARA04;23;M;TR;1;3;C;DK LYNGBY01;BURGMAN INDUSTRIES;DE;10.25;1.5;;08-2008;07-2008;45.0;0.0;45.0;0.0;6900.0;0.0;N
TR ANKARA04;22;F;TR;1;3;S;NL S-GRAVE37;;;5.25;0.0;;01-2009;;30.0;0.0;30.0;0.0;2625.0;0.0;N
TR ANKARA04;22;F;TR;1;4;S;NL S-GRAVE37;;;5.25;0.0;;01-2009;;30.0;0.0;30.0;0.0;2625.0;0.0;N
TR ANKARA04;31;M;TR;3;10;S;UK CANTERB01;;;11.0;0.0;;09-2008;;40.0;0.0;40.0;0.0;6600.0;0.0;N
TR ANKARA04;22;F;TR;1;2;S;UK MANCHES01;;;4.75;0.0;;09-2008;;30.0;0.0;30.0;0.0;2850.0;0.0;N
TR ANKARA04;21;M;TR;1;3;S;E  GRANADA01;;;4.5;0.0;;02-2009;;18.0;0.0;18.0;0.0;2250.0;0.0;N
TR ANKARA04;24;F;TR;1;3;P;;ROCHE DIAGNOSTICS GMBH;DE;0.0;3.0;;;06-2008;0.0;1.0;1.0;0.0;0.0;3000.0;N
TR ADANA01;23;M;TR;1;3;S;CZ LIBEREC01;;;4.0;0.0;;03-2009;;36.0;0.0;36.0;0.0;1600.0;0.0;N
TR ADANA01;26;M;TR;1;5;S;PL TORUN01;;;3.75;0.0;;02-2009;;30.0;0.0;30.0;0.0;1125.0;0.0;N
TR ADANA01;27;M;TR;1;5;S;PL TORUN01;;;4.0;0.0;;10-2008;;36.0;0.0;36.0;0.0;1200.0;0.0;N
TR ADANA01;24;M;TR;1;4;S;E  LLEIDA01;;;6.0;0.0;;09-2008;;37.0;0.0;37.0;0.0;3000.0;0.0;N
TR ADANA01;23;M;TR;1;2;S;P  BRAGA01;;;5.25;0.0;;02-2009;;30.0;0.0;30.0;0.0;2100.0;0.0;N
TR ADANA01;24;F;TR;1;3;S;I  L-AQUIL01;;;5.75;0.0;;02-2009;;31.0;0.0;31.0;0.0;2875.0;0.0;N
TR ADANA01;22;M;TR;1;3;P;;GLAVBOLGARSTOY;BG;0.0;3.0;;;07-2009;0.0;0.0;0.0;0.0;0.0;1620.0;N
TR ADANA01;23;F;TR;1;2;S;D  BOCHUM01;;;6.0;0.0;;09-2008;;28.0;0.0;28.0;0.0;3000.0;0.0;N
TR ADANA01;20;M;TR;S;2;P;;ALFA-NET;PL;0.0;1.5;;;08-2009;0.0;0.0;0.0;0.0;0.0;1663.5;N
TR ADANA01;23;M;TR;1;3;S;CZ LIBEREC01;;;4.25;0.0;;09-2008;;33.0;0.0;33.0;0.0;1700.0;0.0;N
TR ADANA01;20;F;TR;1;2;P;;LINKÖPING UNIVERSITY;SE;0.0;3.0;;;06-2009;0.0;0.0;0.0;0.0;0.0;3480.0;N
TR ANKARA03;22;F;TR;1;4;S;D  BONN01;;;10.25;0.0;;10-2008;;63.0;0.0;63.0;0.0;5125.0;0.0;N
