home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
D  DRESDEN05;24;M;DE;2;4;S;S  STOCKHO11;;;9.75;0.0;;08-2008;;0.0;0.0;0.0;0.0;2476.5;0.0;N
D  DRESDEN05;24;M;DE;2;3;S;I  ROMA09;;;6.0;0.0;;01-2009;;0.0;0.0;0.0;0.0;1523.5;0.0;N
D  DRESDEN07;26;M;RO;1;1;S;UK GLASGOW02;;;6.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;600.0;0.0;N
D  DRESDEN07;23;M;DE;1;1;S;F  STRASBO30;;;5.0;0.0;;01-2009;;30.0;0.0;30.0;0.0;1500.0;0.0;N
D  DRESDEN07;26;F;DE;1;1;S;UK GLASGOW02;;;4.5;0.0;;09-2008;;30.0;0.0;30.0;0.0;1350.0;0.0;N
D  DUSSELD01;24;M;DE;1;1;S;E  GRANADA01;;;4.5;0.0;;09-2008;;24.0;0.0;24.0;0.0;840.6;0.0;N
D  DUSSELD01;24;F;DE;2;4;S;SI MARIBOR01;;;7.0;0.0;;09-2008;;30.0;0.0;30.0;0.0;1508.0;0.0;N
D  ERFURT05;23;F;DE;1;2;S;IRLDUBLIN02;;;6.0;0.0;;09-2008;;20.0;0.0;20.0;0.0;760.0;0.0;N
D  ERFURT05;22;F;DE;1;1;S;SF JYVASKY01;;;4.0;0.0;;09-2008;;20.0;0.0;20.0;0.0;760.0;0.0;N
D  ERLANGE01;24;F;DE;2;4;S;F  CERGY07;;;10.0;0.0;;09-2008;;32.0;0.0;32.0;0.0;2059.8;0.0;N
D  ERLANGE01;25;M;DE;2;3;S;E  ALICANT01;;;5.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;1029.9;0.0;N
D  ERLANGE01;22;F;DE;2;2;S;S  LUND01;;;5.0;0.0;;08-2008;;18.0;0.0;18.0;0.0;1029.9;0.0;N
D  ERLANGE01;21;F;DE;1;1;S;I  ROMA04;;;5.0;0.0;;03-2009;;18.0;0.0;18.0;0.0;1029.9;0.0;N
D  ERLANGE01;25;M;DE;2;3;S;F  RENNES02;;;4.0;0.0;;09-2008;;10.0;0.0;10.0;0.0;823.92;0.0;N
D  ERLANGE01;23;F;DE;2;2;S;E  VALENCI01;;;6.0;0.0;;02-2009;;15.0;0.0;15.0;0.0;1235.88;0.0;N
D  ERLANGE01;25;M;DE;2;3;S;S  JONKOPI01;;;5.0;0.0;;08-2008;;30.0;0.0;30.0;0.0;1029.9;0.0;N
D  ERLANGE01;25;M;DE;2;4;S;E  BARCELO03;;;5.0;0.0;;09-2008;;14.0;0.0;14.0;0.0;1029.9;0.0;N
