home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
RO PETROSA01;18;F;RO;1;1;P;;CENTRO DE PRACTICAS UNIVERSITARIA;ES;0.0;3.0;;;06-2012;0.0;30.0;30.0;0.0;0.0;1959.0;N
RO PETROSA01;22;M;RO;1;3;P;;GESTION INTEGRAL DEL TRANSPORTES SCV;ES;0.0;3.0;;;06-2012;0.0;30.0;30.0;0.0;0.0;1959.0;N
RO PETROSA01;22;M;RO;1;2;P;;GEI - 2A BARCELONA SL;ES;0.0;3.0;;;06-2012;0.0;30.0;30.0;0.0;0.0;1959.0;N
RO PITESTI01;21;F;RO;1;2;S;G  KOZANI02;;;4.5;0.0;;10-2011;;30.0;0.0;30.0;0.0;1238.0;0.0;N
RO PITESTI01;21;F;RO;1;2;S;G  KOZANI02;;;4.5;0.0;;10-2011;;30.0;0.0;30.0;0.0;1238.0;0.0;N
RO PITESTI01;21;F;RO;1;2;S;G  KOZANI02;;;4.5;0.0;;10-2011;;30.0;0.0;30.0;0.0;1238.0;0.0;N
RO PITESTI01;22;F;RO;1;2;S;G  KOZANI02;;;4.5;0.0;;10-2011;;35.0;0.0;35.0;0.0;1238.0;0.0;N
RO PITESTI01;21;F;RO;1;2;S;G  KOZANI02;;;4.5;0.0;;10-2011;;35.0;0.0;35.0;0.0;1238.0;0.0;N
RO PITESTI01;20;F;RO;1;1;S;F  NANCY43;;;5.0;0.0;;09-2011;;27.0;0.0;27.0;0.0;2411.0;0.0;N
RO PITESTI01;20;F;RO;1;1;S;F  NANCY43;;;5.0;0.0;;09-2011;;21.0;0.0;21.0;0.0;2411.0;0.0;N
RO PITESTI01;20;M;RO;1;1;S;F  NANCY43;;;5.0;0.0;;09-2011;;21.0;0.0;21.0;0.0;2411.0;0.0;N
RO PITESTI01;21;M;RO;1;2;S;F  NANCY43;;;5.0;0.0;;09-2011;;24.0;0.0;24.0;0.0;2411.0;0.0;N
RO PITESTI01;20;M;RO;1;1;S;F  NANCY43;;;5.0;0.0;;09-2011;;21.0;0.0;21.0;0.0;2411.0;0.0;N
RO PITESTI01;20;F;RO;1;1;S;F  NANCY43;;;5.0;0.0;;09-2011;;24.0;0.0;24.0;0.0;2411.0;0.0;N
RO PITESTI01;22;F;RO;1;2;S;D  EICHSTA01;;;5.0;0.0;;10-2011;;20.0;0.0;20.0;0.0;1375.0;0.0;N
RO PITESTI01;22;F;RO;1;3;S;F  DIJON01;;;5.0;0.0;;09-2011;;25.0;0.0;25.0;0.0;2411.0;0.0;N
NL S-HERTO01;21;M;NL;1;2;P;;NATIONAL TRUST FOR SCOTLAND;UK;0.0;4.0;;;09-2011;0.0;21.0;21.0;0.0;0.0;880.0;N
NL S-HERTO01;22;F;NL;1;2;P;;COMMUNITY CENTRE, BERE ISLAND, CO. CORK;IE;0.0;4.0;;;08-2011;0.0;21.0;21.0;0.0;0.0;880.0;N
NL S-HERTO01;21;F;NL;1;2;P;;KANTOR BELGIUM CONSULTANT;BE;0.0;4.0;;;08-2011;0.0;21.0;21.0;0.0;0.0;880.0;N
NL S-HERTO01;21;M;NL;1;2;P;;NATIONAL TRUST OF SCOTLAND;UK;0.0;3.0;;;08-2011;0.0;21.0;21.0;0.0;0.0;660.0;N
NL S-HERTO01;19;F;NL;1;2;P;;LA ABADESA S.C;ES;0.0;3.0;;;11-2011;0.0;20.0;20.0;0.0;0.0;660.0;N
NL S-HERTO01;20;F;NL;1;2;P;;SKANDULV;SE;0.0;5.0;;;01-2012;0.0;29.0;29.0;0.0;0.0;1100.0;N
NL S-HERTO01;21;F;NL;1;2;P;;UAB;ES;0.0;3.0;;;03-2012;0.0;20.0;20.0;0.0;0.0;660.0;N
NL S-HERTO01;20;F;NL;1;2;P;;UNIVERSITAT DE BARCELONA;ES;0.0;3.0;;;03-2012;0.0;20.0;20.0;0.0;0.0;660.0;N
NL S-HERTO01;19;M;NL;1;2;P;;BDRI (BOTTLE NOSE DOLPHIN RESEARCH INSTITUTE);IT;0.0;5.0;;;03-2012;0.0;29.0;29.0;0.0;0.0;1100.0;N
NL S-HERTO01;19;M;NL;1;2;P;;PROAP;PT;0.0;6.0;;;03-2012;0.0;28.0;28.0;0.0;0.0;1320.0;N
NL S-GRAVE23;19;F;DE;1;1;P;;ABAMA GOLF & SPA RESORT;ES;0.0;5.0;;;09-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;21;F;HU;1;1;P;;SHERATON LA CALETA;ES;0.0;5.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;19;F;NL;1;1;P;;W BARCELONA;ES;0.0;5.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;20;M;NL;1;1;P;;ST. REGIS ROME;IT;0.0;4.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;880.0;N
NL S-GRAVE23;20;F;NL;1;1;P;;EXPO GRUPO;ES;0.0;5.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;19;F;NL;1;1;P;;HOTEL ARTS BARCELONA;ES;0.0;5.0;;;09-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;20;M;NL;1;1;P;;HOTEL ARTS BARCELONA;ES;0.0;5.0;;;09-2011;0.0;30.0;30.0;0.0;0.0;1100.0;N
NL S-GRAVE23;19;F;NL;1;1;P;;THE RADISSON BLU AMBASSADOR HOTEL;FR;0.0;4.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;880.0;N
NL S-GRAVE23;22;F;HU;1;1;P;;MARRIOTT MARBELLA BEACH RESORT;ES;0.0;4.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;880.0;N
NL S-GRAVE23;20;F;NL;1;1;P;;THE RADISSON BLU AMBASSADOR HOTEL;FR;0.0;4.0;;;08-2011;0.0;30.0;30.0;0.0;0.0;880.0;N
RO IASI05;22;F;;1;3;S;F  LILLE25;;;5.0;0.0;-;02-2012;;29.0;0.0;29.0;0.0;2350.0;0.0;N
RO IASI05;22;M;RO;1;3;S;I  COSENZA01;;;5.0;0.0;-;09-2011;;33.0;0.0;33.0;0.0;2750.0;0.0;N
RO IASI05;23;F;RO;2;4;S;F  ORLEANS01;;;4.0;0.0;-;09-2011;;26.0;0.0;26.0;0.0;2200.0;0.0;N
RO IASI05;21;F;RO;1;2;S;I  FERRARA01;;;5.5;0.0;-;02-2012;;35.0;0.0;35.0;0.0;2350.0;0.0;N
RO IASI05;22;F;RO;1;2;S;E  CADIZ01;;;5.0;0.0;-;02-2012;;18.0;0.0;18.0;0.0;2750.0;0.0;N
RO IASI05;22;M;RO;1;2;S;E  CADIZ01;;;5.0;0.0;-;02-2012;;22.0;0.0;22.0;0.0;2750.0;0.0;N
RO IASI05;22;F;RO;1;3;S;P  LISBOA07;;;5.0;0.0;-;01-2012;;32.0;0.0;32.0;0.0;2580.0;0.0;N
RO IASI05;24;F;RO;2;5;S;F  CERGY01;;;4.0;0.0;-;03-2012;;15.0;0.0;15.0;0.0;2200.0;0.0;N
RO IASI05;24;M;RO;2;5;S;P  LISBOA04;;;5.0;0.0;-;10-2011;;30.0;0.0;30.0;0.0;2750.0;0.0;N
RO IASI05;20;M;RO;1;2;S;F  MARSEIL84;;;9.0;0.0;-;09-2011;;60.0;0.0;60.0;0.0;4350.0;0.0;N
RO IASI05;22;M;RO;1;3;S;P  BRAGA01;;;5.0;0.0;-;09-2011;;19.0;0.0;19.0;0.0;2250.0;0.0;N
RO IASI05;22;F;RO;1;3;S;E  ALCAL-H01;;;5.0;0.0;-;02-2012;;35.0;0.0;35.0;0.0;2350.0;0.0;N
RO IASI05;22;M;RO;1;3;S;P  LISBOA04;;;4.5;0.0;-;02-2012;;35.0;0.0;35.0;0.0;2350.0;0.0;N
RO IASI05;24;M;RO;2;5;S;F  REIMS01;;;3.0;0.0;-;03-2012;;20.0;0.0;20.0;0.0;1650.0;0.0;N
RO IASI05;29;F;RO;2;4;S;G  THESSAL01;;;5.0;0.0;-;02-2012;;27.0;0.0;27.0;0.0;2124.0;0.0;N
RO IASI05;23;F;RO;2;4;S;G  THESSAL01;;;4.0;0.0;-;02-2012;;24.0;0.0;24.0;0.0;2000.0;0.0;P
RO IASI05;25;M;RO;2;5;S;D  MANNHEI08;;;5.0;0.0;-;03-2012;;30.0;0.0;30.0;0.0;3000.0;0.0;N
RO IASI05;21;F;RO;1;3;P;;INP DE TOULOUSE;FR;0.0;5.0;-;;09-2011;0.0;9.0;9.0;0.0;0.0;2750.0;S
RO IASI05;25;F;RO;3;5;P;;UNIVERSITE DE POITIERS;FR;0.0;6.0;-;;02-2012;0.0;30.0;30.0;0.0;0.0;3600.0;S
RO IASI05;24;F;RO;2;5;P;;UNIVERSIDAD DE CASTILLA-LA MANCHA;ES;0.0;4.0;-;;02-2012;0.0;0.0;0.0;0.0;0.0;2120.0;N
RO IASI05;24;F;RO;2;5;P;;EGE UNIVERSITY, IZMIR;TR;0.0;6.5;-;;02-2012;0.0;0.0;0.0;0.0;0.0;3243.0;N
RO IASI05;24;F;RO;2;5;P;;EGE UNIVERSITY, IZMIR;TR;0.0;6.5;-;;02-2012;0.0;0.0;0.0;0.0;0.0;3243.0;N
RO IASI05;24;F;RO;2;5;P;;UNIVERSITE D'ORLEANS;FR;0.0;4.0;-;;02-2012;0.0;10.0;10.0;0.0;0.0;2400.0;N
RO IASI05;22;F;RO;1;3;P;;UNIVERSIDADE DA BEIRA INTERIOR, COVILHA;PT;0.0;3.0;-;;10-2011;0.0;0.0;0.0;0.0;0.0;1767.0;S
RO IASI05;24;F;RO;2;5;P;;UNIVERSITAT POLITECNICA DE CATALUNYA;ES;0.0;8.0;-;;10-2011;0.0;0.0;0.0;0.0;0.0;4056.0;S
RO IASI05;23;F;;2;5;P;;EGE UNIVERSITY, IZMIR;TR;0.0;6.5;-;;02-2012;0.0;0.0;0.0;0.0;0.0;3243.0;N
NL UTRECHT01;21;M;NL;1;3;S;S  UPPSALA01;;;5.0;0.0;;08-2011;;31.0;0.0;31.0;0.0;1100.0;0.0;N
NL UTRECHT01;20;M;NL;1;2;S;TR ISTANBU01;;;4.0;0.0;;09-2011;;29.0;0.0;29.0;0.0;880.0;0.0;N
NL UTRECHT01;22;F;NL;1;4;S;TR ISTANBU01;;;4.0;0.0;;02-2012;;24.0;0.0;24.0;0.0;880.0;0.0;N
NL UTRECHT01;20;F;NL;1;3;S;S  MALMO01;;;5.0;0.0;;01-2012;;34.0;0.0;34.0;0.0;1100.0;0.0;N
NL UTRECHT01;21;M;NL;1;2;S;UK SWANSEA01;;;9.0;0.0;;09-2011;;60.0;0.0;60.0;0.0;1980.0;0.0;N
NL UTRECHT01;23;F;NL;1;5;S;F  PARIS001;;;6.0;0.0;;01-2012;;15.0;0.0;15.0;0.0;1320.0;0.0;N
NL UTRECHT01;23;F;NL;1;3;S;A  WIEN01;;;4.0;0.0;;03-2012;;22.0;0.0;22.0;0.0;880.0;0.0;N
NL UTRECHT01;22;F;NL;1;3;S;UK LONDON029;;;5.0;0.0;;01-2012;;30.0;0.0;30.0;0.0;1100.0;0.0;N
NL UTRECHT01;23;M;FI;1;3;S;E  MADRID14;;;5.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;1100.0;0.0;N
