home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
CZ BRNO05;25;F;CZ;2;3;S;LUXLUX-VIL01;;;9.0;0.0;;09-2011;;37.0;0.0;37.0;0.0;1856.0;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;E  CADIZ01;;;5.25;0.0;;09-2011;;10.0;0.0;10.0;0.0;841.83;0.0;N
CZ BRNO05;24;F;CZ;2;5;S;D  WURZBUR01;;;7.0;0.0;;03-2012;;43.0;0.0;43.0;0.0;1659.0;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;UK GUILDFO01;;;8.75;0.0;;09-2011;;60.0;0.0;60.0;0.0;1408.44;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;F  LILLE11;;;3.0;0.0;;04-2012;;20.0;0.0;20.0;0.0;1409.0;0.0;N
D  MANNHEI01;20;F;DE;1;1;S;EE TARTU02;;;6.5;0.0;;01-2012;;28.0;0.0;28.0;0.0;1106.58;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;F  PARIS005;;;10.0;0.0;;09-2011;;37.0;0.0;37.0;0.0;2052.0;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;E  MADRID14;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;809.45;0.0;N
CZ BRNO05;26;M;CZ;2;4;S;F  BORDEAU37;;;8.5;0.0;;09-2011;;66.0;0.0;66.0;0.0;1689.0;0.0;N
D  MAINZ01;23;F;DE;1;2;S;S  KARLSTA01;;;6.0;0.0;;08-2011;;16.0;0.0;16.0;0.0;1228.02;0.0;N
D  MAINZ01;22;M;DE;1;2;S;UK GLASGOW01;;;8.0;0.0;;09-2011;;60.0;0.0;60.0;0.0;1568.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;E  CORDOBA01;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;825.64;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK BIRMING01;;;4.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;647.56;0.0;N
D  MANNHEI01;23;M;DE;1;2;C;CZ PRAHA07;;;5.25;0.0;;09-2011;;21.0;0.0;21.0;0.0;858.02;0.0;N
D  MANNHEI01;21;M;HU;1;2;S;N  SANDVIK02;;;4.5;0.0;;08-2011;;30.0;0.0;30.0;0.0;712.32;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;E  CADIZ01;;;4.75;0.0;;09-2011;;22.0;0.0;22.0;0.0;760.88;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;NL NIJMEGE01;;;9.5;0.0;;08-2011;;58.0;0.0;58.0;0.0;1554.14;0.0;N
D  MANNHEI01;21;F;DE;2;2;S;N  BERGEN01;;;4.25;0.0;;08-2011;;25.0;0.0;25.0;0.0;696.13;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;I  MILANO04;;;3.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;566.62;0.0;N
D  MANNHEI01;23;F;DE;1;2;S;N  KRISTIA01;;;3.75;0.0;;08-2011;;25.0;0.0;25.0;0.0;615.18;0.0;N
D  MANNHEI01;22;F;DE;1;1;S;IRLMAYNOOT01;;;4.25;0.0;;01-2012;;20.0;0.0;20.0;0.0;696.13;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;N  BERGEN01;;;10.0;0.0;;08-2011;;90.0;0.0;90.0;0.0;1618.9;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;F  POITIER01;;;4.5;0.0;;09-2011;;24.0;0.0;24.0;0.0;728.5;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;IRLMAYNOOT01;;;3.25;0.0;;09-2011;;18.0;0.0;18.0;0.0;518.05;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;UK EDINBUR01;;;3.25;0.0;;09-2011;;30.0;0.0;30.0;0.0;534.24;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;IRLMAYNOOT01;;;3.25;0.0;;09-2011;;15.0;0.0;15.0;0.0;518.05;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;E  BARCELO15;;;3.25;0.0;;09-2011;;11.0;0.0;11.0;0.0;534.24;0.0;N
D  MANNHEI01;25;M;DE;2;4;S;F  CERGY03;;;9.25;0.0;;09-2011;;60.0;0.0;60.0;0.0;1505.58;0.0;P
D  MANNHEI01;25;M;DE;1;4;S;UK LONDON031;;;3.0;0.0;;09-2011;;45.0;0.0;45.0;0.0;501.86;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;P  LISBOA03;;;4.25;0.0;;09-2011;;25.0;0.0;25.0;0.0;679.94;0.0;N
D  MANNHEI01;20;M;DE;1;2;S;F  PARIS014;;;4.0;0.0;;08-2011;;32.0;0.0;32.0;0.0;631.37;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;E  BARCELO31;;;10.25;0.0;;08-2011;;35.0;0.0;35.0;0.0;1651.28;0.0;N
D  MANNHEI01;21;F;DE;1;1;S;NL MAASTRI01;;;4.25;0.0;;02-2012;;24.0;0.0;24.0;0.0;679.94;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;CZ PRAHA07;;;4.5;0.0;;09-2011;;34.0;0.0;34.0;0.0;744.69;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;N  BERGEN01;;;10.25;0.0;;08-2011;;75.0;0.0;75.0;0.0;1667.47;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;UK NOTTING01;;;4.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;663.75;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;E  MADRID14;;;4.75;0.0;;09-2011;;24.0;0.0;24.0;0.0;777.07;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;S  GOTEBOR01;;;10.0;0.0;;08-2011;;50.0;0.0;50.0;0.0;1602.71;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;N  BERGEN01;;;10.5;0.0;;08-2011;;75.0;0.0;75.0;0.0;1683.66;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;DK KOBENHA01;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;744.69;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;UK SWANSEA01;;;2.75;0.0;T;09-2011;;22.0;0.0;22.0;0.0;446.9;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;UK NOTTING01;;;4.0;0.0;;09-2011;;28.0;0.0;28.0;0.0;663.75;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;E  ALICANT01;;;5.0;0.0;;08-2011;;42.0;0.0;42.0;0.0;809.45;0.0;N
D  MAINZ01;23;F;DE;1;1;S;F  DIJON01;;;10.0;0.0;;09-2011;;60.0;0.0;60.0;0.0;1960.0;0.0;N
D  MAINZ01;22;F;DE;1;2;S;TR MUGLA01;;;10.0;0.0;;09-2011;;38.0;0.0;38.0;0.0;1960.0;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;P  BEJA01;;;4.0;0.0;;03-2012;;22.0;0.0;22.0;0.0;940.0;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;F  TOULOUS23;;;2.75;0.0;T;09-2011;;30.0;0.0;30.0;0.0;437.1;0.0;N
CZ BRNO05;23;F;CZ;2;3;S;A  EISENST02;;;5.0;0.0;;02-2012;;20.0;0.0;20.0;0.0;1175.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;TR ISTANBU05;;;4.5;0.0;;02-2012;;12.0;0.0;12.0;0.0;744.69;0.0;N
CZ BRNO05;23;F;CZ;2;3;S;P  PORTO02;;;5.0;0.0;;02-2012;;22.0;0.0;22.0;0.0;1210.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;F  LYON03;;;3.75;0.0;;08-2011;;32.0;0.0;32.0;0.0;598.99;0.0;N
D  MAINZ08;24;F;DE;1;2;S;PL WROCLAW03;;;5.0;0.0;;02-2012;;30.0;0.0;30.0;0.0;960.0;0.0;N
CZ BRNO05;23;M;SK;2;3;S;F  MARSEIL84;;;5.0;0.0;;01-2012;;30.0;0.0;30.0;0.0;1210.0;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;UK PAISLEY01;;;4.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;631.37;0.0;N
D  MANNHEI01;21;F;TR;1;2;S;TR ISTANBU03;;;9.0;0.0;;09-2011;;62.0;0.0;62.0;0.0;1440.82;0.0;N
CZ BRNO05;22;F;CZ;1;3;S;E  CORDOBA01;;;5.0;0.0;;09-2011;;20.0;0.0;20.0;0.0;888.0;0.0;N
D  MANNHEI01;28;M;DE;2;4;S;F  PARIS014;;;3.75;0.0;;01-2012;;44.0;0.0;44.0;0.0;615.18;0.0;N
D  MANNHEI01;22;M;DE;1;2;C;PL KRAKOW01;;;11.0;0.0;;09-2011;;46.0;0.0;46.0;0.0;1818.9;0.0;N
CZ BRNO05;20;M;SK;1;2;S;A  EISENST02;;;4.5;0.0;;02-2012;;27.0;0.0;27.0;0.0;1057.5;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;F  TOULOUS01;;;4.5;0.0;;09-2011;;27.0;0.0;27.0;0.0;712.32;0.0;N
D  MANNHEI01;24;F;DE;1;2;S;E  ALCAL-H01;;;5.25;0.0;;08-2011;;24.0;0.0;24.0;0.0;858.02;0.0;N
CZ BRNO05;24;M;CZ;1;2;S;I  MACERAT01;;;10.5;0.0;;09-2011;;23.0;0.0;23.0;0.0;3439.0;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;CH LAUSANN01;;;4.75;0.0;;09-2011;;12.0;0.0;12.0;0.0;777.07;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;HU BUDAPES47;;;3.25;0.0;;09-2011;;20.0;0.0;20.0;0.0;534.24;0.0;N
CZ BRNO05;21;F;SK;1;2;S;D  REGENSB01;;;4.5;0.0;;10-2011;;35.0;0.0;35.0;0.0;813.0;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;N  OSLO01;;;10.5;0.0;;08-2011;;90.0;0.0;90.0;0.0;1716.03;0.0;N
D  MANNHEI01;20;F;DE;1;2;S;S  JONKOPI01;;;5.0;0.0;;07-2011;;38.0;0.0;38.0;0.0;847.56;0.0;N
CZ BRNO05;24;M;CZ;2;5;S;NL TILBURG01;;;5.0;0.0;;08-2011;;18.0;0.0;18.0;0.0;796.0;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;I  ROMA16;;;9.75;0.0;;10-2011;;34.0;0.0;34.0;0.0;1570.33;0.0;N
D  MANNHEI01;21;F;DE;1;1;S;SF JYVASKY01;;;4.5;0.0;;01-2012;;31.0;0.0;31.0;0.0;712.32;0.0;N
CZ BRNO05;28;M;;3;7;S;G  ATHINE01;;;10.0;0.0;;09-2011;;70.0;0.0;70.0;0.0;2098.0;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;S  STOCKHO01;;;4.75;0.0;;08-2011;;34.0;0.0;34.0;0.0;760.88;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;SI LJUBLJA01;;;4.5;0.0;;09-2011;;25.0;0.0;25.0;0.0;712.32;0.0;N
CZ BRNO05;25;F;CZ;2;4;S;E  ZARAGOZ01;;;5.0;0.0;;09-2011;;23.0;0.0;23.0;0.0;888.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK KINGSTO01;;;9.0;0.0;;09-2011;;52.0;0.0;52.0;0.0;1457.01;0.0;N
CZ BRNO05;20;F;CZ;1;1;S;G  ATHINE01;;;10.0;0.0;;08-2011;;52.0;0.0;52.0;0.0;2052.0;0.0;N
D  MANNHEI01;26;M;DE;1;2;S;NL MAASTRI01;;;3.75;0.0;;09-2011;;29.0;0.0;29.0;0.0;598.99;0.0;N
D  MANNHEI01;22;M;DE;1;2;S;UK LANCAST01;;;2.5;0.0;T;10-2011;;24.0;0.0;24.0;0.0;404.72;0.0;N
D  MANNHEI01;25;M;DE;1;2;S;S  JONKOPI01;;;4.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;647.56;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;N  OSLO01;;;6.0;0.0;;01-2012;;20.0;0.0;20.0;0.0;1452.0;0.0;N
CZ BRNO05;20;M;SK;2;4;S;E  GIRONA02;;;5.5;0.0;;01-2012;;23.0;0.0;23.0;0.0;1331.0;0.0;N
CZ BRNO05;20;F;CZ;2;4;S;G  PATRA01;;;6.0;0.0;;08-2011;;39.0;0.0;39.0;0.0;1325.0;0.0;N
D  MANNHEI01;23;F;DE;1;2;S;F  POITIER01;;;4.25;0.0;;09-2011;;27.0;0.0;27.0;0.0;696.13;0.0;N
CZ BRNO05;21;F;CZ;1;2;S;EE TARTU02;;;5.0;0.0;;01-2012;;21.0;0.0;21.0;0.0;1210.0;0.0;N
D  MANNHEI01;24;F;DE;2;4;S;PL WARSZAW03;;;4.25;0.0;;02-2012;;16.0;0.0;16.0;0.0;696.13;0.0;N
CZ BRNO05;24;M;CZ;2;4;S;NL ZWOLLE05;;;4.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;600.0;0.0;N
D  MANNHEI01;23;F;DE;1;2;S;NL MAASTRI01;;;5.5;0.0;;07-2011;;9.0;0.0;9.0;0.0;928.5;0.0;N
CZ BRNO05;20;M;SK;1;1;S;G  KRITIS01;;;6.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;992.0;0.0;N
D  MANNHEI01;21;M;BG;1;2;S;NL MAASTRI01;;;3.75;0.0;;08-2011;;29.0;0.0;29.0;0.0;615.18;0.0;N
CZ BRNO05;25;M;CZ;2;5;S;PL POZNAN01;;;9.5;0.0;;08-2011;;48.0;0.0;48.0;0.0;1931.0;0.0;N
D  MANNHEI01;22;F;TR;1;2;S;TR ISTANBU05;;;5.0;0.0;;09-2011;;28.0;0.0;28.0;0.0;809.45;0.0;N
CZ BRNO05;22;M;CZ;2;3;S;F  MONTPEL13;;;10.0;0.0;;09-2011;;54.0;0.0;54.0;0.0;2052.0;0.0;N
D  MANNHEI01;25;F;DE;2;6;S;TR ANKARA07;;;4.5;0.0;;09-2011;;18.0;0.0;18.0;0.0;712.32;0.0;N
CZ BRNO05;23;M;CZ;2;3;S;LT VILNIUS06;;;5.0;0.0;;08-2011;;24.0;0.0;24.0;0.0;842.0;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;CH FRIBOUR01;;;9.5;0.0;;08-2011;;59.0;0.0;59.0;0.0;1554.14;0.0;N
CZ BRNO05;23;M;SK;2;4;S;DK ALBORG01;;;5.0;0.0;;09-2011;;27.0;0.0;27.0;0.0;842.0;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;UK LANCAST01;;;2.75;0.0;T;10-2011;;24.0;0.0;24.0;0.0;453.29;0.0;N
LT KAUNAS02;21;M;LT;1;3;S;P  PORTO02;;;5.0;0.0;;09-2011;;29.0;0.0;29.0;0.0;2250.0;0.0;N
LT KAUNAS02;23;F;LT;2;5;S;E  MURCIA01;;;3.0;0.0;;01-2012;;45.0;0.0;45.0;0.0;0.0;0.0;N
LT KAUNAS02;26;M;LT;1;3;S;DK KOBENHA14;;;5.0;0.0;;08-2011;;30.0;0.0;30.0;0.0;2750.0;0.0;N
LT KAUNAS02;21;M;LT;1;3;S;SF LAPPEEN01;;;3.75;0.0;;08-2011;;30.0;0.0;30.0;0.0;2062.5;0.0;N
LT KAUNAS02;21;F;LT;1;2;S;I  PADOVA01;;;5.75;0.0;;01-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
LT KAUNAS02;28;F;LT;3;9;S;D  KONSTAN01;;;5.0;0.0;;10-2011;;30.0;0.0;30.0;0.0;2250.0;0.0;N
LT KAUNAS02;21;F;LT;1;2;S;F  BREST10;;;5.0;0.0;;01-2012;;24.0;0.0;24.0;0.0;0.0;0.0;N
LT KAUNAS02;22;M;LT;1;3;S;DK LYNGBY01;;;5.0;0.0;;08-2011;;35.0;0.0;35.0;0.0;2750.0;0.0;N
LT KAUNAS02;22;M;LT;1;3;S;DK ODENSE01;;;5.0;0.0;;08-2011;;35.0;0.0;35.0;0.0;2750.0;0.0;N
LT KAUNAS02;21;M;LT;1;2;S;S  LINKOPI01;;;5.5;0.0;;08-2011;;32.0;0.0;32.0;0.0;3025.0;0.0;N
LT KAUNAS02;25;M;LT;2;5;S;I  BOLOGNA01;;;4.75;0.0;;09-2011;;25.0;0.0;25.0;0.0;2137.5;0.0;N
LT KAUNAS02;24;M;LT;1;2;S;SF TURKU05;;;3.75;0.0;;09-2011;;30.0;0.0;30.0;0.0;2062.5;0.0;N
LT KAUNAS02;24;F;LT;2;5;S;D  SCHMALK01;;;5.0;0.0;;10-2011;;29.0;0.0;29.0;0.0;2250.0;0.0;N
LT KAUNAS02;21;M;LT;1;2;S;DK ODENSE01;;;10.0;0.0;;08-2011;;71.0;0.0;71.0;0.0;5500.0;0.0;N
LT KAUNAS02;24;M;LT;2;5;S;S  LINKOPI01;;;4.5;0.0;;08-2011;;18.0;0.0;18.0;0.0;2475.0;0.0;N
LT KAUNAS02;21;F;LT;1;3;S;S  VAXJO03;;;4.75;0.0;;08-2011;;30.0;0.0;30.0;0.0;2612.5;0.0;N
LT KAUNAS02;19;F;LT;1;2;S;CZ BRNO01;;;5.0;0.0;;09-2011;;29.0;0.0;29.0;0.0;1671.5;0.0;N
LT KAUNAS02;21;F;LT;1;2;S;DK ODENSE01;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;2750.0;0.0;N
LT KAUNAS02;25;F;LT;2;5;S;I  TORINO02;;;5.0;0.0;;09-2011;;24.0;0.0;24.0;0.0;2250.0;0.0;N
LT KAUNAS02;21;M;LT;1;2;S;UK LOUGHBO01;;;4.25;0.0;;10-2011;;30.0;0.0;30.0;0.0;0.0;0.0;N
LT KAUNAS02;21;F;LT;1;3;S;E  TARRAGO01;;;4.75;0.0;;01-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
LT KAUNAS02;21;F;LT;1;2;S;E  BARCELO02;;;5.0;0.0;;02-2012;;42.0;0.0;42.0;0.0;0.0;0.0;N
LT KAUNAS02;21;M;LT;1;3;S;SF TAMPERE01;;;4.0;0.0;;08-2011;;32.0;0.0;32.0;0.0;2200.0;0.0;N
LT KAUNAS02;23;M;LT;2;5;S;PL LODZ01;;;5.0;0.0;;09-2011;;30.0;0.0;30.0;0.0;1750.0;0.0;N
LT KAUNAS02;21;M;LT;1;2;S;SF SEINAJO06;;;5.0;0.0;;01-2012;;31.0;0.0;31.0;0.0;0.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK SWANSEA01;;;5.0;0.0;;01-2012;;30.0;0.0;30.0;0.0;809.45;0.0;N
D  MANNHEI01;23;F;DE;1;2;S;E  BARCELO15;;;3.75;0.0;;09-2011;;27.0;0.0;27.0;0.0;598.99;0.0;N
CZ BRNO05;22;F;CZ;1;2;S;N  KONGSBE01;;;9.5;0.0;;08-2011;;82.0;0.0;82.0;0.0;1931.0;0.0;N
D  MANNHEI01;23;F;DE;1;2;S;UK SWANSEA01;;;4.0;0.0;;09-2011;;25.0;0.0;25.0;0.0;663.75;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK CARDIFF01;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;712.32;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;LT XX;;;4.0;0.0;;03-2012;;27.0;0.0;27.0;0.0;940.0;0.0;N
D  MANNHEI01;23;F;DE;2;4;S;E  BARCELO02;;;5.5;0.0;;02-2012;;20.0;0.0;20.0;0.0;906.58;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;E  MADRID14;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;712.32;0.0;N
CZ BRNO05;22;F;CZ;1;2;S;E  BARCELO02;;;4.5;0.0;;09-2011;;24.0;0.0;24.0;0.0;767.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;E  MADRID14;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;744.69;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK GUILDFO01;;;9.0;0.0;;09-2011;;45.0;0.0;45.0;0.0;1440.82;0.0;N
CZ BRNO05;23;F;CZ;1;1;S;TR ANTALYA01;;;10.0;0.0;;08-2011;;52.0;0.0;52.0;0.0;2006.0;0.0;N
D  MANNHEI01;20;M;DE;1;2;S;G  ATHINE04;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;712.32;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;F  LYON03;;;3.75;0.0;;08-2011;;32.0;0.0;32.0;0.0;615.18;0.0;N
CZ BRNO05;24;F;CZ;2;5;S;NL GRONING01;;;5.0;0.0;;08-2011;;20.0;0.0;20.0;0.0;842.0;0.0;N
D  MANNHEI01;21;M;DE;1;2;S;SF ESPOO12;;;3.75;0.0;;09-2011;;30.0;0.0;30.0;0.0;598.99;0.0;N
D  MANNHEI01;23;M;DE;2;4;S;SF OULU01;;;6.0;0.0;;09-2011;;27.0;0.0;27.0;0.0;971.34;0.0;N
CZ BRNO05;23;F;CZ;2;4;S;UK SHEFFIE01;;;4.5;0.0;;09-2011;;22.0;0.0;22.0;0.0;767.0;0.0;N
D  MANNHEI01;22;F;DE;1;2;S;UK NEWCAST01;;;4.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;712.32;0.0;N
D  MANNHEI01;23;M;DE;1;2;S;I  MILANO04;;;3.5;0.0;;09-2011;;30.0;0.0;30.0;0.0;566.62;0.0;N
CZ BRNO05;26;M;CZ;2;5;S;HU BUDAPES01;;;6.0;0.0;;01-2012;;21.0;0.0;21.0;0.0;1452.0;0.0;N
D  MANNHEI01;25;F;DE;2;4;S;DK KOBENHA05;;;5.0;0.0;;01-2012;;30.0;0.0;30.0;0.0;793.26;0.0;N
D  MANNHEI01;21;F;DE;1;2;S;F  TOULOUS01;;;8.75;0.0;;09-2011;;27.0;0.0;27.0;0.0;1424.63;0.0;N
CZ BRNO05;22;M;CZ;2;2;S;D  TUBINGE01;;;11.0;0.0;;09-2011;;52.0;0.0;52.0;0.0;2294.0;0.0;N
CZ BRNO05;22;F;CZ;2;3;S;NL GRONING01;;;5.0;0.0;;09-2011;;22.0;0.0;22.0;0.0;842.0;0.0;N
CZ BRNO05;24;F;CZ;2;4;S;S  STOCKHO01;;;5.0;0.0;;08-2011;;42.0;0.0;42.0;0.0;796.0;0.0;N
CZ BRNO05;23;F;CZ;1;3;S;MT MALTA01;;;4.5;0.0;;09-2011;;20.0;0.0;20.0;0.0;813.0;0.0;N
