home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
UK KINGSTO01;26;F;;2;3;S;I  SIENA01;;;3.5;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK KINGSTO01;22;F;;2;3;S;D  FRANKFU08;;;3.75;0.0;;10-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK KINGSTO01;22;F;;2;3;S;I  SIENA01;;;3.5;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK KINGSTO01;44;M;UK;1;1;S;TR ISTANBU11;;;9.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK KINGSTO01;52;F;IE;1;1;S;CY NICOSIA14;;;10.0;0.0;;08-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK KINGSTO01;21;F;;2;3;S;I  SIENA01;;;3.5;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK KINGSTO01;20;M;UK;1;1;S;E  VALENCI11;;;3.0;0.0;;01-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK KEELE01;19;M;UK;1;1;S;TR ISTANBU13;;;4.5;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK EXETER01;21;M;UK;1;2;S;E  BARCELO15;;;9.5;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK EXETER01;22;F;UK;1;2;P;;Colegio Federico Garcia Lorca;ES;0.0;9.0;;;10-2012;0.0;60.0;60.0;0.0;0.0;3330.0;N
UK LONDON029;20;F;UK;1;2;S;F  PARIS002;;;8.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;20;M;UK;1;2;S;D  POTSDAM01;;;3.0;0.0;;10-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK LONDON029;21;F;LT;1;2;S;A  INNSBRU01;;;8.0;0.0;;10-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;21;F;RO;1;2;S;I  ROMA01;;;8.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;20;F;;1;2;S;CH ZURICH07;;;8.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;21;M;DE;1;2;S;D  MUNCHEN01;;;8.0;0.0;;10-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;21;F;UK;1;2;S;F  PARIS014;;;8.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;20;F;UK;1;2;S;E  MADRID14;;;8.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK LONDON029;20;F;UK;1;2;C;I  ROMA16;Bundesrealgymnasium, Geringergasse;DE;8.0;0.0;;03-2013;10-2012;60.0;0.0;60.0;0.0;0.0;0.0;N
UK GLASGOW01;21;F;IE;1;3;S;I  BOLOGNA01;;;3.5;0.0;;02-2013;;20.0;0.0;20.0;0.0;0.0;0.0;N
UK GLASGOW01;21;F;UK;1;1;P;;Lexcelera;FR;0.0;5.75;;;03-2013;0.0;60.0;60.0;0.0;0.0;2127.5;N
UK GLASGOW01;20;M;UK;1;2;P;;CEIP Valdelecrin;ES;0.0;8.0;;;10-2012;0.0;60.0;60.0;0.0;0.0;2960.0;N
UK GLASGOW01;21;F;UK;1;2;S;F  PARIS003;;;8.75;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK GLASGOW01;19;F;UK;1;2;S;E  VALENCI08;;;10.25;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
UK GLASGOW01;20;M;UK;1;2;S;DK KOBENHA01;;;4.25;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK GLASGOW02;22;M;UK;2;4;S;F  XX;;;3.25;0.0;;01-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
UK GLASGOW02;20;F;UK;1;3;S;E  CORDOBA01;;;10.25;0.0;;09-2012;;45.0;0.0;45.0;0.0;0.0;0.0;N
