home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
CZ OPAVA01;22;F;CZ;1;3;S;NL ENSCHED03;;;0.25;0.0;X;08-2010;;0.0;0.0;0.0;0.0;2.0;0.0;N
NL ENSCHED03;21;F;DE;1;2;S;DK ODENSE01;;;5.0;0.0;;02-2011;;30.0;0.0;30.0;0.0;1000.0;0.0;N
NL ENSCHED03;21;M;NL;1;3;S;B  BRUSSEL46;;;4.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;800.0;0.0;N
CZ OPAVA01;21;F;CZ;1;2;S;E  MURCIA04;;;5.0;0.0;;09-2010;;42.0;0.0;42.0;0.0;613.5;0.0;N
NL ENSCHED03;24;F;NL;1;3;S;SF OULU11;;;4.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;800.0;0.0;N
CZ OPAVA01;25;M;CZ;2;3;S;D  DRESDEN01;;;5.0;0.0;;03-2011;;56.0;0.0;56.0;0.0;2023.0;0.0;N
NL ENSCHED03;25;F;DE;1;3;S;TR IZMIR01;;;9.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;1800.0;0.0;N
CZ OPAVA01;24;F;CZ;1;2;S;I  ROMA16;;;9.0;0.0;;10-2010;;21.0;0.0;21.0;0.0;1769.6;0.0;N
CZ OPAVA01;24;F;CZ;2;4;S;UK COVENTR02;;;8.5;0.0;;09-2010;;60.0;0.0;60.0;0.0;3206.5;0.0;N
NL ENSCHED03;19;F;NL;1;2;S;TR ADANA01;;;5.0;0.0;;09-2010;;30.0;0.0;30.0;0.0;1000.0;0.0;N
NL ENSCHED03;23;M;NL;1;3;S;B  BRUSSEL46;;;4.0;0.0;;09-2010;;33.0;0.0;33.0;0.0;800.0;0.0;N
CZ OPAVA01;26;F;CZ;1;1;S;SK NITRA01;;;5.0;0.0;;09-2010;;34.0;0.0;34.0;0.0;507.0;0.0;N
NL ENSCHED03;21;F;NL;1;3;P;;INSTITUT GUTTMANN;ES;0.0;3.0;;;03-2011;0.0;31.0;31.0;0.0;0.0;750.0;N
CZ OPAVA01;20;F;CZ;1;1;S;SI KOPER03;;;5.5;0.0;;09-2010;;21.0;0.0;21.0;0.0;483.0;0.0;N
NL ENSCHED03;23;M;GR;1;2;P;;DIGITAL CHOCOLATE;ES;0.0;6.0;;;09-2010;0.0;30.0;30.0;0.0;0.0;1500.0;N
CZ OPAVA01;24;F;CZ;2;4;S;SF OULU11;;;4.0;0.0;X;08-2010;;25.0;0.0;25.0;0.0;2.0;0.0;N
NL ENSCHED03;21;M;NL;1;2;P;;HOCHSCHULE FÃ¼R TECHNIK UND WIRTSCHAFT DES SAARLANDES;DE;0.0;4.0;;;09-2010;0.0;30.0;30.0;0.0;0.0;1000.0;N
CZ OPAVA01;23;M;CZ;2;3;S;B  ANTWERP60;;;5.0;0.0;;09-2010;;33.0;0.0;33.0;0.0;808.0;0.0;N
NL ENSCHED03;19;M;NL;1;3;P;;WALSGRAVE UNIVERSITY HOSPITAL COVENTRY;UK;0.0;3.0;;;01-2011;0.0;30.0;30.0;0.0;0.0;750.0;N
NL ENSCHED03;21;F;NL;1;2;P;;NEREA ARQUEOLOGIA SUBACUATICA SLLL;ES;0.0;3.0;;;11-2010;0.0;15.0;15.0;0.0;0.0;750.0;N
CZ OPAVA01;21;F;SK;1;2;S;TR CANAKKA01;;;4.0;0.0;;09-2010;;25.0;0.0;25.0;0.0;162.0;0.0;N
CZ OPAVA01;24;F;CZ;2;4;S;TR CANAKKA01;;;4.0;0.0;;09-2010;;35.0;0.0;35.0;0.0;162.0;0.0;N
NL ENSCHED03;22;F;NL;1;3;P;;MARQUES DE RISCAL;ES;0.0;5.0;;;02-2011;0.0;30.0;30.0;0.0;0.0;1250.0;N
CZ OPAVA01;24;M;CZ;2;4;S;SF JOENSUU09;;;6.0;0.0;;08-2010;;31.0;0.0;31.0;0.0;976.0;0.0;N
NL ENSCHED03;21;F;NL;1;3;P;;ABAMA GOLF & SPA RESORT;ES;0.0;5.0;;;09-2010;0.0;30.0;30.0;0.0;0.0;1250.0;N
UK GLASGOW01;23;M;UK;1;4;S;E  MADRID05;;;4.0;0.0;;01-2011;;0.0;0.0;0.0;0.0;1512.0;0.0;N
UK GLASGOW01;21;F;UK;1;3;S;E  VIGO01;;;3.0;0.0;;03-2011;;0.0;0.0;0.0;0.0;1134.0;0.0;P
UK GLASGOW01;20;F;UK;1;2;P;;CEIP MIGUEL DE CERVANTES;ES;0.0;8.0;;;10-2010;0.0;60.0;60.0;0.0;0.0;3024.0;N
UK GLASGOW01;23;F;UK;1;2;S;D  BONN01;;;10.0;0.0;;10-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;20;F;UK;1;2;S;E  LAS-PAL01;;;10.0;0.0;;09-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;22;F;UK;1;2;S;B  BRUXEL81;;;10.0;0.0;;09-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;20;F;UK;1;2;S;E  VALENCI08;;;10.0;0.0;;08-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;20;F;UK;1;2;S;NL NIJMEGE01;;;5.0;0.0;;08-2010;;30.0;0.0;30.0;0.0;1890.0;0.0;N
UK GLASGOW01;20;M;UK;1;2;P;;IES BLAS INFANTE CORDOBA;ES;0.0;9.0;;;09-2010;0.0;60.0;60.0;0.0;0.0;3402.0;N
UK GLASGOW01;20;F;UK;1;2;S;F  PARIS014;;;9.0;0.0;;08-2010;;60.0;0.0;60.0;0.0;3402.0;0.0;N
UK GLASGOW01;22;F;UK;1;2;S;N  BERGEN01;;;10.0;0.0;;08-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;22;M;UK;1;2;S;F  PARIS225;;;9.0;0.0;;09-2010;;60.0;0.0;60.0;0.0;3402.0;0.0;N
UK GLASGOW01;22;F;EE;1;2;S;F  NICE01;;;10.0;0.0;;09-2010;;60.0;0.0;60.0;0.0;3780.0;0.0;N
UK GLASGOW01;20;M;UK;1;3;P;;BAYER CROP SCIENCE;DE;0.0;10.0;;;09-2010;0.0;60.0;60.0;0.0;0.0;3780.0;N
UK GLASGOW01;20;F;UK;1;2;S;I  BOLOGNA01;;;9.0;0.0;;10-2010;;60.0;0.0;60.0;0.0;3402.0;0.0;N
UK GLASGOW01;20;F;UK;1;2;S;NL NIJMEGE01;;;5.0;0.0;;01-2011;;30.0;0.0;30.0;0.0;1890.0;0.0;N
