home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
I  MILANO04;21;M;IT;1;3;S;N  BERGEN02;;;5.0;0.0;;01-2010;;30.0;0.0;30.0;0.0;1150.0;0;N
I  MILANO04;22;M;IT;2;2;S;P  LISBOA03;;;4.0;0.0;;09-2009;;22.0;0.0;22.0;0.0;920.0;0;N
I  MILANO04;23;F;IT;2;2;S;N  BERGEN02;;;4.0;0.0;;08-2009;;22.0;0.0;22.0;0.0;920.0;0;N
I  MILANO04;21;M;IT;1;3;S;S  UPPSALA01;;;5.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;1150.0;0;N
I  MILANO04;23;F;IT;2;2;S;N  BERGEN02;;;4.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;920.0;0;N
I  MILANO04;23;M;IT;2;2;S;DK KOBENHA05;;;10.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;2300.0;0;N
I  MILANO04;23;F;IT;2;2;S;P  LISBOA03;;;4.0;0.0;;08-2009;;31.0;0.0;31.0;0.0;920.0;0;N
I  MILANO04;21;F;IT;1;3;S;B  BRUXEL04;;;5.0;0.0;;09-2009;;28.0;0.0;28.0;0.0;1150.0;0;N
I  MILANO04;21;M;IT;1;3;S;N  BERGEN02;;;4.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;920.0;0;N
I  MILANO04;21;F;IT;1;3;S;E  PAMPLON01;;;4.0;0.0;;09-2009;;20.0;0.0;20.0;0.0;920.0;0;N
I  MILANO04;23;M;IT;2;2;S;DK KOBENHA05;;;4.0;0.0;;02-2010;;22.0;0.0;22.0;0.0;920.0;0;N
I  MILANO04;22;M;IT;2;2;S;E  MADRID14;;;5.0;0.0;;09-2009;;35.0;0.0;35.0;0.0;1150.0;0;N
I  MILANO04;21;F;LT;1;3;S;NL ROTTERD01;;;4.0;0.0;;08-2009;;28.0;0.0;28.0;0.0;920.0;0;N
I  MILANO04;23;M;IT;2;2;S;F  PARIS009;;;4.0;0.0;;09-2009;;24.0;0.0;24.0;0.0;920.0;0;N
I  MILANO04;23;F;IT;2;2;S;F  JOUY-JO02;;;3.0;0.0;;09-2009;;29.0;0.0;29.0;0.0;690.0;0;N
I  MILANO04;24;M;IT;2;2;S;A  WIEN05;;;4.0;0.0;;03-2010;;7.0;0.0;7.0;0.0;920.0;0;N
I  MILANO04;23;F;IT;2;2;S;NL MAASTRI01;;;5.0;0.0;;01-2010;;19.0;0.0;19.0;0.0;1150.0;0;N
N  BERGEN01;25;F;NO;2;5;S;D  HEIDELB01;;;10.0;0.0;;04-2010;;60.0;0.0;60.0;0.0;3501.0;0;N
N  BERGEN01;24;M;NO;2;3;S;DK KOBENHA01;;;3.0;0.0;;09-2009;;20.0;0.0;20.0;0.0;1050.0;0;N
I  BOLOGNA01;20;M;IT;1;1;S;B  BRUXEL04;;;9.0;0.0;;09-2009;;60.0;0.0;60.0;0.0;2070.0;0;N
I  BOLOGNA01;22;F;IT;2;4;S;DK ARHUS03;;;10.0;0.0;;08-2009;;36.0;0.0;36.0;0.0;2300.0;0;N
I  BOLOGNA01;23;M;IT;2;4;S;E  OVIEDO01;;;10.0;0.0;;09-2009;;0.0;0.0;0.0;0.0;2300.0;0;N
I  BOLOGNA01;21;F;IT;1;2;S;E  VALLADO01;;;9.0;0.0;;09-2009;;45.0;0.0;45.0;0.0;2070.0;0;N
I  BOLOGNA01;20;F;IT;1;1;S;E  SEVILLA01;;;12.0;0.0;;09-2009;;52.0;0.0;52.0;0.0;2760.0;0;N
I  BOLOGNA01;21;F;IT;1;1;S;E  GRANADA01;;;9.0;0.0;;09-2009;;69.0;0.0;69.0;0.0;2070.0;0;N
I  MILANO04;21;F;IT;1;3;S;D  MANNHEI01;;;4.0;0.0;;09-2009;;26.0;0.0;26.0;0.0;920.0;0;N
I  MILANO04;23;F;IT;2;2;S;NL MAASTRI01;;;4.0;0.0;;01-2010;;26.0;0.0;26.0;0.0;920.0;0;N
I  MILANO04;23;F;IT;2;2;S;B  LOUVAIN01;;;12.0;0.0;;09-2009;;40.0;0.0;40.0;0.0;2760.0;0;N
I  MILANO04;21;F;IT;1;3;S;NL MAASTRI01;;;4.0;0.0;;08-2009;;65.0;0.0;65.0;0.0;920.0;0;N
I  MILANO04;24;M;IT;2;2;P;;UNION FENOSA GAS;ES;0.0;3.0;;;07-2009;0.0;8.0;8.0;0.0;0.0;1800;N
I  MILANO04;21;M;IT;1;3;S;TR ANKARA07;;;4.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;920.0;0;N
I  MILANO04;25;F;DE;2;2;P;;PARSHIP.DE;DE;0.0;3.0;;;08-2009;0.0;8.0;8.0;0.0;0.0;1800;N
I  MILANO04;21;F;IT;1;3;S;P  LISBOA03;;;5.0;0.0;;09-2009;;15.0;0.0;15.0;0.0;1150.0;0;N
I  MILANO04;23;M;IT;2;2;S;E  BARCELO16;;;8.0;0.0;;09-2009;;36.0;0.0;36.0;0.0;1840.0;0;N
I  MILANO04;23;F;IT;2;2;S;F  PARIS014;;;5.0;0.0;;09-2009;;21.0;0.0;21.0;0.0;1150.0;0;N
I  MILANO04;20;F;IT;1;3;S;IS REYKJAV01;;;4.0;0.0;;09-2009;;30.0;0.0;30.0;0.0;920.0;0;N
I  MILANO04;21;M;IT;1;3;S;NL ROTTERD01;;;4.0;0.0;;09-2009;;32.0;0.0;32.0;0.0;920.0;0;N
I  MILANO04;23;M;IT;2;2;S;NL AMSTERD01;;;5.0;0.0;;02-2010;;15.0;0.0;15.0;0.0;1150.0;0;N
I  MILANO04;23;F;IT;2;2;S;F  CERGY03;;;4.0;0.0;;08-2009;;30.0;0.0;30.0;0.0;920.0;0;N
I  MILANO04;21;F;IT;1;3;S;D  OESTRIC01;;;4.0;0.0;;08-2009;;23.0;0.0;23.0;0.0;920.0;0;N
I  MILANO04;20;F;IT;1;3;S;F  CERGY03;;;4.0;0.0;;08-2009;;21.0;0.0;21.0;0.0;920.0;0;N
I  MILANO04;21;M;IT;1;3;S;NL ROTTERD01;;;4.0;0.0;;01-2010;;12.0;0.0;12.0;0.0;920.0;0;N
I  MILANO04;22;F;IT;2;2;S;F  JOUY-JO02;;;9.0;0.0;;09-2009;;38.0;0.0;38.0;0.0;2070.0;0;N
