home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
PL SZCZECI02;22;F;PL;1;3;S;E  VALENCI02;;;5.0;0.0;;01-2009;;46.0;0.0;46.0;0.0;1800.0;0.0;N
PL SZCZECI02;22;F;PL;1;3;S;E  VALENCI02;;;5.0;0.0;;01-2009;;59.0;0.0;59.0;0.0;1800.0;0.0;N
PL SZCZECI02;24;M;PL;2;4;P;;MAGMA ARCHITECTURE;DE;0.0;5.0;;;02-2009;0.0;0.0;0.0;0.0;0.0;2580.0;S
PL SZCZECI02;23;M;PL;1;3;P;;ED.ZÜBLIN AG;DE;0.0;5.75;;;09-2008;0.0;30.0;30.0;0.0;0.0;2967.0;S
PL SZCZECI03;22;M;PL;1;1;S;SI LJUBLJA01;;;4.75;0.0;;02-2009;;34.0;0.0;34.0;0.0;1381.0;0.0;N
PL SZCZECI02;22;M;PL;1;3;S;DK RISSKOV06;;;10.0;0.0;;08-2008;;61.0;0.0;61.0;0.0;4150.0;0.0;N
PL WARSZAW01;22;F;PL;1;2;S;NL AMSTERD01;;;7.0;0.0;;02-2009;;40.0;0.0;40.0;0.0;2448.0;0.0;N
PL WARSZAW01;23;M;PL;2;3;S;D  MUNCHEN01;;;4.5;0.0;;10-2008;;34.0;0.0;34.0;0.0;1836.0;0.0;N
PL WARSZAW01;23;M;PL;2;3;S;D  MUNCHEN01;;;4.5;0.0;;10-2008;;34.0;0.0;34.0;0.0;1836.0;0.0;N
PL SZCZECI02;24;M;PL;2;4;P;;HARTMANN;DE;0.0;4.0;;;02-2009;0.0;0.0;0.0;0.0;0.0;2064.0;S
PL SZCZECI02;23;M;PL;1;3;P;;DREES&SOMMER;DE;0.0;5.0;;;09-2008;0.0;30.0;30.0;0.0;0.0;2580.0;S
PL SZCZECI01;23;M;PL;1;2;S;I  VITERBO01;;;4.75;0.0;;10-2008;;30.0;0.0;30.0;0.0;1881.0;0.0;N
PL SZCZECI01;26;F;PL;1;1;P;;THEMERSON ARCHIVE;UK;0.0;3.0;;;03-2009;0.0;0.0;0.0;0.0;0.0;1605.0;N
