home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
P  LISBOA04;23;M;PT;2;5;S;SI LJUBLJA01;;;5.0;0.0;;02-2013;;36.0;0.0;36.0;0.0;0.0;0.0;N
P  LISBOA04;22;M;PT;2;4;S;NL AMSTERD02;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA04;21;M;PT;2;3;S;S  STOCKHO04;;;5.0;0.0;;08-2012;;21.0;0.0;21.0;0.0;0.0;0.0;N
P  LISBOA04;21;M;PT;2;3;S;D  MUNCHEN02;;;5.0;0.0;;10-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA04;23;M;PT;2;5;S;SI LJUBLJA01;;;5.0;0.0;;10-2012;;31.0;0.0;31.0;0.0;0.0;0.0;N
P  LISBOA11;25;M;PT;2;3;S;I  MILANO02;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA11;24;M;PT;2;3;S;I  MILANO02;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA11;21;F;PT;2;3;S;CH LUGANO01;;;10.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
P  LISBOA12;24;F;PT;1;4;S;I  ROMA01;;;9.0;0.0;;09-2012;;41.0;0.0;41.0;0.0;0.0;0.0;N
P  LISBOA12;22;F;PT;1;4;S;CH LUGANO01;;;9.0;0.0;;09-2012;;41.0;0.0;41.0;0.0;0.0;0.0;N
P  LISBOA12;20;F;PT;1;2;S;I  FIRENZE01;;;6.0;0.0;;09-2012;;18.0;0.0;18.0;0.0;0.0;0.0;N
P  LISBOA12;27;F;PT;1;5;S;I  MILANO02;;;9.0;0.0;;09-2012;;41.0;0.0;41.0;0.0;0.0;0.0;N
P  LISBOA12;22;M;PT;1;4;S;B  BRUXEL04;;;9.0;0.0;;09-2012;;41.0;0.0;41.0;0.0;0.0;0.0;N
P  LISBOA52;29;M;PT;1;2;S;UK SALFORD01;;;9.0;0.0;;09-2012;;40.0;0.0;40.0;0.0;0.0;0.0;N
P  LISBOA52;25;F;PT;1;3;S;PL KATOWIC01;;;5.0;0.0;;02-2013;;22.0;0.0;22.0;0.0;0.0;0.0;N
P  LISBOA52;21;M;PT;1;3;S;E  BARCELO31;;;5.0;0.0;;09-2012;;26.0;0.0;26.0;0.0;0.0;0.0;N
P  LISBOA52;31;M;PT;1;2;S;I  ROMA23;;;10.0;0.0;;09-2012;;63.0;0.0;63.0;0.0;0.0;0.0;N
P  LISBOA52;22;M;PT;1;2;S;E  HUELVA01;;;9.0;0.0;;10-2012;;9.0;0.0;9.0;0.0;0.0;0.0;N
P  LISBOA52;20;M;PT;1;2;S;PL WARSZAW01;;;5.0;0.0;;09-2012;;35.0;0.0;35.0;0.0;0.0;0.0;N
P  LISBOA52;20;M;PT;1;2;S;PL WARSZAW01;;;5.0;0.0;;09-2012;;35.0;0.0;35.0;0.0;0.0;0.0;N
P  LISBOA52;23;M;PT;1;2;S;E  BARCELO31;;;5.0;0.0;;09-2012;;26.0;0.0;26.0;0.0;0.0;0.0;N
P  LISBOA52;22;F;PT;1;2;S;PL WARSZAW01;;;5.0;0.0;;10-2012;;29.0;0.0;29.0;0.0;0.0;0.0;N
P  LISBOA17;21;F;PT;1;2;S;E  BARCELO16;;;4.0;0.0;;01-2013;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  LISBOA17;20;F;PT;1;2;S;I  FIRENZE01;;;4.0;0.0;;03-2013;;28.0;0.0;28.0;0.0;0.0;0.0;N
P  LISBOA17;20;M;PT;1;2;S;I  TORINO01;;;9.0;0.0;;09-2012;;42.0;0.0;42.0;0.0;0.0;0.0;N
P  LISBOA17;21;F;PT;1;2;S;UK SOUTHAM01;;;9.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA17;20;F;PT;1;2;S;E  SALAMAN02;;;5.0;0.0;;09-2012;;0.0;0.0;0.0;0.0;0.0;0.0;N
P  LISBOA17;20;F;PT;1;2;S;I  ROMA04;;;4.0;0.0;;09-2012;;24.0;0.0;24.0;0.0;0.0;0.0;N
P  LISBOA17;20;F;PT;1;2;S;E  BARCELO16;;;5.0;0.0;;09-2012;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  LISBOA07;19;M;PT;1;1;S;SK BRATISL03;;;4.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA07;28;F;;2;4;S;D  MANNHEI01;;;5.0;0.0;;08-2012;;44.0;0.0;44.0;0.0;0.0;0.0;N
P  LISBOA07;20;M;PT;1;2;S;SI LJUBLJA01;;;4.0;0.0;;02-2013;;24.0;0.0;24.0;0.0;0.0;0.0;N
P  LISBOA07;20;M;PT;1;2;S;PL WARSZAW21;;;5.0;0.0;;09-2012;;36.0;0.0;36.0;0.0;0.0;0.0;N
P  LISBOA07;20;M;PT;1;2;S;D  MAINZ08;;;11.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  LISBOA07;22;M;PT;2;4;S;LT VILNIUS01;;;5.0;0.0;;09-2012;;8.0;0.0;8.0;0.0;0.0;0.0;N
P  LISBOA07;21;M;PT;1;4;S;NL AMSTERD02;;;4.0;0.0;;02-2013;;24.0;0.0;24.0;0.0;0.0;0.0;N
P  LISBOA07;20;M;PT;1;2;S;CZ PRAHA02;;;5.0;0.0;;09-2012;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  LISBOA07;21;M;PT;1;3;S;SF TURKU01;;;4.0;0.0;;08-2012;;34.0;0.0;34.0;0.0;0.0;0.0;N
P  LISBOA07;20;M;PT;1;2;S;S  VAXJO03;;;9.0;0.0;;08-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
P  LISBOA08;26;F;PT;2;1;S;E  MADRID18;;;4.0;0.0;;09-2012;;18.0;0.0;18.0;0.0;0.0;0.0;N
P  LISBOA08;22;M;PT;1;2;S;E  MADRID18;;;4.0;0.0;;09-2012;;18.0;0.0;18.0;0.0;0.0;0.0;N
P  LISBOA08;20;F;PT;1;2;S;E  MADRID18;;;4.0;0.0;;09-2012;;12.0;0.0;12.0;0.0;0.0;0.0;N
P  LISBOA08;21;M;PT;1;2;S;D  ISERLOH02;;;4.0;0.0;;09-2012;;7.0;0.0;7.0;0.0;0.0;0.0;N
P  LISBOA08;21;M;PT;1;2;S;F  PARIS213;;;5.0;0.0;;09-2012;;16.0;0.0;16.0;0.0;0.0;0.0;N
P  LISBOA08;20;F;PT;1;2;S;B  BRUSSEL05;;;5.0;0.0;;09-2012;;24.0;0.0;24.0;0.0;0.0;0.0;N
P  LISBOA08;22;M;PT;1;2;S;CZ PRAHA16;;;5.0;0.0;;10-2012;;14.0;0.0;14.0;0.0;0.0;0.0;N
P  LISBOA08;20;M;PT;1;2;S;F  PARIS213;;;5.0;0.0;;08-2012;;16.0;0.0;16.0;0.0;0.0;0.0;N
P  LISBOA08;21;M;PT;1;2;S;PL WARSZAW21;;;5.0;0.0;;09-2012;;17.0;0.0;17.0;0.0;0.0;0.0;N
P  LISBOA08;22;M;PT;1;1;S;D  KOLN04;;;4.0;0.0;;03-2013;;0.0;0.0;0.0;0.0;0.0;0.0;N
P  VILA-RE01;22;M;PT;1;3;S;PL LUBLIN03;;;5.0;0.0;;02-2013;;42.0;0.0;42.0;0.0;0.0;0.0;N
P  VILA-RE01;20;F;PT;1;3;S;PL LUBLIN03;;;5.0;0.0;;02-2013;;39.0;0.0;39.0;0.0;0.0;0.0;N
P  VILA-RE01;21;F;PT;1;3;S;CZ PRAHA01;;;5.0;0.0;;09-2012;;20.0;0.0;20.0;0.0;0.0;0.0;N
P  VILA-RE01;22;M;PT;1;2;S;PL LUBLIN03;;;5.0;0.0;;02-2013;;36.0;0.0;36.0;0.0;0.0;0.0;N
P  BEJA01;23;F;PT;1;4;P;;Linnaeus University - School of Health and Caring Sciences;SE;0.0;3.0;;;09-2012;0.0;27.0;27.0;0.0;0.0;1251.0;N
P  BEJA01;23;F;PT;1;2;P;;Aleksandras Stulginskis University - Institute of Agroecosystem and Soil Science;LT;0.0;3.0;;;03-2013;0.0;0.0;0.0;0.0;0.0;765.0;S
P  BEJA01;23;F;PT;1;4;P;;Univ.Extremadura;ES;0.0;3.0;;;09-2012;0.0;27.0;27.0;0.0;0.0;1127.19;N
P  BEJA01;22;F;PT;1;3;P;;"Universidad de valladolid - Hospital Universitario ""RÝo - Hortega""";ES;0.0;4.0;;;02-2013;0.0;27.0;27.0;0.0;0.0;1376.0;N
P  BEJA01;29;M;PT;1;1;P;;Grafoc Sur;ES;0.0;3.0;;;03-2013;0.0;18.0;18.0;0.0;0.0;1032.0;S
P  BEJA01;22;F;PT;1;3;P;;Blue Palace, Resort & SPA;GR;0.0;4.0;;;05-2013;0.0;15.0;15.0;0.0;0.0;1431.19;N
P  AVEIRO01;25;M;PT;1;4;S;PL LODZ01;;;9.0;0.0;;09-2012;;72.0;0.0;72.0;0.0;0.0;0.0;N
P  AVEIRO01;20;F;PT;1;2;S;HU BUDAPES20;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  AVEIRO01;21;F;PT;1;3;S;SF TAMPERE02;;;5.0;0.0;;01-2013;;36.0;0.0;36.0;0.0;0.0;0.0;N
P  AVEIRO01;21;F;PT;1;3;S;E  ALCAL-H01;;;12.0;0.0;;09-2012;;48.0;0.0;48.0;0.0;0.0;0.0;N
P  AVEIRO01;25;F;PT;1;6;S;SK BRATISL02;;;5.0;0.0;;09-2012;;24.0;0.0;24.0;0.0;0.0;0.0;N
P  AVEIRO01;21;F;PT;1;3;S;B  LIEGE01;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  AVEIRO01;21;F;PT;2;3;S;I  TRENTO01;;;6.0;0.0;;09-2012;;20.0;0.0;20.0;0.0;0.0;0.0;N
P  AVEIRO01;20;F;PT;1;2;S;E  GRANADA01;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  AVEIRO01;21;F;PT;2;3;S;I  MODENA01;;;5.0;0.0;;09-2012;;18.0;0.0;18.0;0.0;0.0;0.0;N
P  AVEIRO01;20;F;PT;1;2;S;UK NOTTING01;;;5.0;0.0;;01-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  AVEIRO01;22;M;PT;1;2;S;I  MILANO02;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  ESTORIL01;20;F;PT;1;3;P;;Strategic Five Marketing;UK;0.0;3.0;;;06-2013;0.0;12.0;12.0;0.0;0.0;1677.0;N
P  ESTORIL01;21;M;PT;1;2;P;;Hotel Arts Barcelona;ES;0.0;3.0;;;07-2013;0.0;0.0;0.0;0.0;0.0;1218.0;N
P  ESTORIL01;23;M;PT;1;3;P;;Hotel Arts Barcelona;ES;0.0;3.0;;;07-2013;0.0;8.0;8.0;0.0;0.0;1218.0;N
P  ESTORIL01;25;F;PT;1;3;P;;Hotel Arts Barcelona;ES;0.0;3.0;;;07-2013;0.0;12.0;12.0;0.0;0.0;1218.0;N
P  ESTORIL01;20;M;PT;1;3;P;;Hotel Claris;ES;0.0;3.0;;;07-2013;0.0;8.0;8.0;0.0;0.0;1218.0;N
P  ESTORIL01;23;M;PT;1;2;P;;Radisson Blu Resort & Spa Malta Golden Sands;MT;0.0;3.0;;;06-2013;0.0;8.0;8.0;0.0;0.0;1026.0;N
P  ESTORIL01;21;M;PT;1;3;P;;Hotel Claris;ES;0.0;3.0;;;07-2013;0.0;8.0;8.0;0.0;0.0;1218.0;N
CZ BRNO01;25;F;CZ;3;6;P;;Environmental Research Institute;UK;0.0;9.5;;;09-2012;0.0;0.0;0.0;0.0;0.0;1425.5;N
CZ BRNO01;29;M;CZ;3;7;P;;Ecole Nationale Superieure d'Arts et MÚtiers;FR;0.0;3.0;;;09-2012;0.0;0.0;0.0;0.0;0.0;300.0;N
P  COIMBRA01;22;M;PT;1;3;S;PL WARSZAW03;;;5.0;0.0;;09-2012;;28.0;0.0;28.0;0.0;0.0;0.0;N
P  COIMBRA01;20;M;PT;1;1;S;DK ARHUS01;;;5.0;0.0;;08-2012;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  COIMBRA01;21;M;PT;1;3;S;PL WARSZAW03;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;1;S;TR ISTANBU05;;;5.0;0.0;;09-2012;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  COIMBRA01;21;F;PT;1;2;S;PL WARSZAW01;;;4.0;0.0;;02-2013;;27.0;0.0;27.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;1;S;UK BIRMING02;;;9.0;0.0;;09-2012;;54.0;0.0;54.0;0.0;0.0;0.0;N
P  COIMBRA01;21;F;PT;1;3;S;B  LOUVAIN01;;;4.0;0.0;;02-2013;;27.0;0.0;27.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;3;S;B  LOUVAIN01;;;5.0;0.0;;02-2013;;27.0;0.0;27.0;0.0;0.0;0.0;N
P  COIMBRA01;20;M;PT;1;2;S;B  BRUXEL04;;;5.0;0.0;;01-2013;;25.0;0.0;25.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;3;S;E  BARCELO02;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;21;M;PT;1;2;S;E  BARCELO02;;;5.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;23;F;PT;1;2;S;UK BRADFOR01;;;4.0;0.0;;02-2013;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;21;F;PT;1;3;S;B  LOUVAIN01;;;5.0;0.0;;02-2013;;27.0;0.0;27.0;0.0;0.0;0.0;N
P  COIMBRA01;19;F;PT;1;1;S;F  BORDEAU37;;;9.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
P  COIMBRA01;21;F;PT;1;2;S;F  BORDEAU37;;;9.0;0.0;;09-2012;;60.0;0.0;60.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;1;S;SK BRATISL02;;;5.0;0.0;;09-2012;;34.0;0.0;34.0;0.0;0.0;0.0;N
P  COIMBRA01;20;M;PT;1;1;S;BG SOFIA17;;;5.0;0.0;;08-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;20;M;PT;1;3;S;PL WARSZAW12;;;4.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;20;F;PT;1;1;S;SK BRATISL02;;;5.0;0.0;;09-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  COIMBRA01;30;F;PT;1;2;S;RO IASI02;;;4.0;0.0;;10-2012;;30.0;0.0;30.0;0.0;0.0;0.0;N
P  FARO02;22;F;PT;1;3;P;;Exclusivas Iglesias;ES;0.0;9.0;;;09-2012;0.0;60.0;60.0;0.0;0.0;2064.0;N
P  FARO02;30;M;PT;2;6;P;;Cranfield University;UK;0.0;9.0;;;09-2012;0.0;60.0;60.0;0.0;0.0;2838.0;N
CZ LIBEREC01;25;F;CZ;2;4;P;;Dona Nieves Damas, H10 Hotel Gran Tinerfe;ES;0.0;4.0;;;09-2012;0.0;12.0;12.0;0.0;0.0;1000.0;S
CZ LIBEREC01;29;F;CZ;3;6;P;;Hollen s.r.o., Bratislava;SK;0.0;3.0;;;07-2012;0.0;3.0;3.0;0.0;0.0;1000.0;N
CZ LIBEREC01;28;M;CZ;3;5;P;;Proseat Sp.zo.o. Bielsko-Biala;PL;0.0;3.0;;;10-2012;0.0;3.0;3.0;0.0;0.0;1000.0;N
CZ LIBEREC01;25;F;CZ;1;3;P;;Eriksen Skajaa Architects;NO;0.0;5.0;;;08-2012;0.0;0.0;0.0;0.0;0.0;1000.0;N
CZ LIBEREC01;24;M;CZ;2;4;P;;Bus Elektronik GmbH;DE;0.0;6.0;;;04-2013;0.0;0.0;0.0;0.0;0.0;300.0;N
CZ LIBEREC01;22;M;CZ;2;3;P;;1 Global Translators, Barcelona;ES;0.0;5.0;;;02-2013;0.0;0.0;0.0;0.0;0.0;1925.0;S
CZ LIBEREC01;23;F;CZ;2;4;P;;ESN ALMERIA, Spain;ES;0.0;5.0;;;02-2013;0.0;12.0;12.0;0.0;0.0;1925.0;S
CZ LIBEREC01;23;F;CZ;2;4;P;;Czech Trade, London;UK;0.0;6.0;;;02-2013;0.0;12.0;12.0;0.0;0.0;2310.0;N
CZ LIBEREC01;23;F;CZ;2;3;P;;Casamundo GmbH.  Hamburg;DE;0.0;6.0;;;02-2013;0.0;12.0;12.0;0.0;0.0;2310.0;S
CZ LIBEREC01;27;M;CZ;2;4;P;;Instituto Ortopedico Rizzoli;IT;0.0;5.0;;;02-2013;0.0;12.0;12.0;0.0;0.0;1925.0;N
CZ LIBEREC01;27;M;CZ;3;5;P;;Automation and Micro Mechatronics Systems dpt., Besancon;FR;0.0;5.0;;;02-2013;0.0;3.0;3.0;0.0;0.0;1925.0;N
CZ LIBEREC01;26;F;CZ;3;6;P;;University of Ljubljana;SI;0.0;3.0;;;04-2013;0.0;3.0;3.0;0.0;0.0;700.0;N
CZ LIBEREC01;26;F;CZ;3;6;P;;RWTH Aachen University;DE;0.0;3.0;;;02-2013;0.0;0.0;0.0;0.0;0.0;1155.0;N
CZ LIBEREC01;23;F;CZ;2;4;P;;Denso Europe B.V.Weesp;NL;0.0;4.0;;;05-2013;0.0;0.0;0.0;0.0;0.0;565.0;N
CZ LIBEREC01;24;M;CZ;2;4;P;;Universidad de Oviedo, Gij¾n;ES;0.0;3.0;;;06-2012;0.0;12.0;12.0;0.0;0.0;100.0;N
CZ LIBEREC01;22;F;CZ;1;2;P;;Gijs Van Vaerenbergh Leu;BE;0.0;3.0;;;07-2013;0.0;3.0;3.0;0.0;0.0;100.0;N
CZ LIBEREC01;23;F;CZ;2;4;P;;Denso Manufacturing Italia S.p.A 66050 San Salvo;IT;0.0;4.0;;;06-2013;0.0;0.0;0.0;0.0;0.0;200.0;N
CZ LIBEREC01;21;M;CZ;1;2;P;;Aprender Online, Paterna;ES;0.0;3.0;;;06-2013;0.0;0.0;0.0;0.0;0.0;200.0;S
CZ HRADEC01;22;M;CZ;1;3;P;;Astoria apartment hotel;FR;0.0;0.5;X;;06-2012;0.0;0.0;0.0;0.0;0.0;2.5;S
