home_institution;age;gender;nationality;level_study;years_prior;mobility_type;host_institution;work_placement;country_work_placement;length_study;length_work;short_duration_reason;study_start_date;work_start_date;ects_study;ects_work;ects_total;sn_supplement;study_grant;work_grant;previous_participation
I  BOLOGNA01;23;M;IT;1;3;S;E  LAS-PAL01;;;10.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;2000.0;0.0;N
I  GENOVA01;22;M;IT;1;3;S;F  NANTES01;;;5.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;1000.0;0.0;N
I  GENOVA01;26;F;IT;2;6;S;F  PARIS005;;;10.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;1800.0;0.0;N
I  GENOVA01;22;M;IT;2;3;S;E  MADRID04;;;6.0;0.0;;09-2008;;27.0;0.0;27.0;0.0;1200.0;0.0;N
I  GENOVA01;25;F;IT;2;2;S;E  HUELVA01;;;5.0;0.0;;09-2008;;15.0;0.0;15.0;0.0;1000.0;0.0;N
I  GENOVA01;24;M;IT;2;2;S;D  BERLIN02;;;6.0;0.0;;03-2009;;0.0;0.0;0.0;0.0;1200.0;0.0;N
I  GENOVA01;26;F;IT;2;2;S;UK BRISTOL01;;;10.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;2000.0;0.0;N
I  GENOVA01;22;M;IT;1;3;S;IRLTRALEE01;;;5.0;0.0;;09-2008;;21.0;0.0;21.0;0.0;1000.0;0.0;N
I  GENOVA01;23;M;IT;2;3;S;E  MADRID26;;;6.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;1200.0;0.0;N
I  GENOVA01;27;F;IT;1;5;S;F  PARIS010;;;9.0;0.0;;09-2008;;0.0;0.0;0.0;0.0;1800.0;0.0;N
I  GENOVA01;25;F;IT;2;2;S;D  HAMBURG01;;;5.0;0.0;;10-2008;;5.0;0.0;5.0;0.0;1000.0;0.0;N
I  TORINO02;25;F;RO;2;1;S;F  PARIS083;;;12.0;0.0;;07-2008;;60.0;0.0;60.0;0.0;2400.0;0.0;N
